;;;;;Games;Games;0-19;0-19;20-29;20-29;30-39;30-39;40-49;40-49;50;50;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Punting;Punting;Punting;Punting;Punting
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg;Pnt;Yds;Lng;Blck;Y/P
1;Harrison Butker\ButkHa00;KAN;24;K;16;0;;;9;9;10;9;13;13;6;3;38;34;56;89.5%;48;45;93.8%;98;6157;60;61.2%;62.8;;;;;
2;Wil Lutz*\LutzWi00;NOR;25;K;16;0;1;1;9;9;6;6;15;13;5;3;36;32;58;88.9%;49;48;98.0%;94;6082;74;78.7%;64.7;;;;;
3;Zane Gonzalez\GonzZa00;ARI;24;K;16;0;;;12;12;13;12;8;5;2;2;35;31;54;88.6%;35;34;97.1%;83;5241;45;54.2%;63.1;2;84;44;0;42.0
4;Matt Gay\GayxMa00;TAM;25;K;16;0;;;6;6;7;5;14;11;8;5;35;27;58;77.1%;48;43;89.6%;1;14;;;14.0;;;;;
5;Josh Lambo\LambJo00;JAX;29;K;16;0;;;12;12;9;9;9;8;4;4;34;33;56;97.1%;20;19;95.0%;40;2283;23;57.5%;57.1;;;;;
6;Brandon McManus\McMaBr01;DEN;28;K;16;0;;;6;6;9;9;12;10;7;4;34;29;53;85.3%;26;25;96.2%;72;4634;55;76.4%;64.4;;;;;
7;Greg Zuerlein\ZuerGr00;LAR;32;K;16;0;;;7;7;8;7;11;5;7;5;33;24;58;72.7%;42;42;100.0%;83;5281;64;77.1%;63.6;;;;;
8;Joey Slye\SlyeJo00;CAR;23;K;16;0;;;5;4;5;5;11;8;11;8;32;25;55;78.1%;35;31;88.6%;70;4503;66;94.3%;64.3;;;;;
9;Chris Boswell\BoswCh00;PIT;28;K;16;0;1;1;11;11;7;7;10;9;2;1;31;29;51;93.5%;28;28;100.0%;72;4552;31;43.1%;63.2;;;;;
10;Randy Bullock\BullRa00;CIN;30;K;16;0;;;10;10;6;6;12;10;3;1;31;27;57;87.1%;25;24;96.0%;71;4269;46;64.8%;60.1;;;;;
11;Robbie Gould\gouldrob01;SFO;37;K;13;0;;;9;9;10;8;8;6;4;;31;23;47;74.2%;42;41;97.6%;1;37;;;37.0;;;;;
12;Matt Prater\PratMa20;DET;35;K;16;0;;;11;11;3;2;9;6;8;7;31;26;56;83.9%;36;35;97.2%;19;1159;8;42.1%;61.0;;;;;
13;Dustin Hopkins\HopkDu00;WAS;29;K;16;0;;;8;7;9;8;10;8;3;2;30;25;53;83.3%;22;21;95.5%;68;4231;48;70.6%;62.2;;;;;
