;;;;;Games;Games;0-19;0-19;20-29;20-29;30-39;30-39;40-49;40-49;50;50;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Punting;Punting;Punting;Punting;Punting
14;Brett Maher\MaheBr01;DAL;30;K;13;0;;;9;9;8;6;5;1;8;4;30;20;63;66.7%;36;36;100.0%;69;4170;36;52.2%;60.4;;;;;
15;Jason Sanders\SandJa00;MIA;24;K;16;0;;;7;7;9;8;9;5;5;3;30;23;54;76.7%;30;29;96.7%;71;4314;49;69.0%;60.8;;;;;
16;Austin Seibert\SeibAu00;CLE;23;K;16;0;;;6;6;9;9;12;9;2;1;29;25;53;86.2%;35;30;85.7%;75;4753;30;40.0%;63.4;1;37;37;0;37.0
17;Dan Bailey\BailDa00;MIN;31;K;16;0;;;10;10;9;9;7;5;3;3;29;27;50;93.1%;44;40;90.9%;87;5597;66;75.9%;64.3;;;;;
18;Justin Tucker*+\TuckJu00;BAL;30;K;16;0;;;8;8;9;9;11;10;1;1;29;28;51;96.6%;59;57;96.6%;106;6646;57;53.8%;62.7;;;;;
19;Stephen Hauschka\HausSt00;BUF;34;K;16;0;;;5;5;8;7;10;9;5;1;28;22;51;78.6%;32;30;93.8%;73;4529;42;57.5%;62.0;;;;;
20;Jason Myers\MyerJa00;SEA;28;K;16;0;;;6;6;11;11;7;4;4;2;28;23;54;82.1%;44;40;90.9%;85;5337;59;69.4%;62.8;;;;;
21;Eddy Pineiro\PineEd00;CHI;24;K;16;0;1;1;8;8;10;9;7;3;2;2;28;23;53;82.1%;29;27;93.1%;52;3141;26;50.0%;60.4;;;;;
22;Sam Ficken\FickSa00;NYJ;27;K;15;0;;;2;2;8;7;11;7;6;3;27;19;54;70.4%;26;23;88.5%;62;3763;29;46.8%;60.7;;;;;
23;Daniel Carlson\CarlDa00;OAK;24;K;16;0;;;8;8;6;5;10;6;2;;26;19;48;73.1%;36;34;94.4%;71;4496;38;53.5%;63.3;;;;;
24;Jake Elliott\ElliJa03;PHI;24;K;16;0;;;7;7;8;8;7;5;4;2;26;22;53;84.6%;37;35;94.6%;81;5058;52;64.2%;62.4;;;;;
25;Younghoe Koo\KooxYo00;ATL;25;K;8;0;;;6;6;10;9;9;7;1;1;26;23;50;88.5%;16;15;93.8%;50;3041;27;54.0%;60.8;;;;;
26;Ka'imi Fairbairn\FairKa01;HOU;25;K;16;0;;;5;5;8;8;6;4;6;3;25;20;54;80.0%;45;40;88.9%;81;5091;42;51.9%;62.9;1;26;26;0;26.0
27;Adam Vinatieri\vinatada01;IND;47;K;12;0;;;7;6;6;6;7;3;5;2;25;17;55;68.0%;28;22;78.6%;;;;;;;;;;
28;Mason Crosby\CrosMa20;GNB;35;K;16;0;1;1;2;2;11;11;8;7;2;1;24;22;54;91.7%;41;40;97.6%;79;5031;49;62.0%;63.7;;;;;
29;Chase McLaughlin\McLaCh00;3TM;23;;11;0;1;1;5;5;4;4;10;5;3;3;23;18;50;78.3%;26;26;100.0%;18;1064;7;38.9%;59.1;;;;;
30;Nick Folk\FolkNi20;NWE;35;K;7;0;1;1;5;5;3;3;7;4;1;1;17;14;51;82.4%;12;12;100.0%;1;41;;;41.0;;;;;
31;Aldrick Rosas\RosaAl00;NYG;25;K;16;0;;;6;6;6;5;4;1;1;;17;12;45;70.6%;39;35;89.7%;71;4433;50;70.4%;62.4;;;;;
32;Michael Badgley\BadgMi00;LAC;24;K;8;0;;;5;5;2;2;8;6;1;;16;13;49;81.3%;19;19;100.0%;11;665;1;9.1%;60.5;;;;;
33;Matt Bryant\bryanmat01;ATL;44;k;7;0;;;1;1;4;3;3;3;6;2;14;9;52;64.3%;15;14;93.3%;5;304;;;60.8;;;;;
34;Kai Forbath\ForbKa00;2TM;32;;4;0;;;2;2;1;1;7;7;1;1;11;11;50;100.0%;12;11;91.7%;23;1375;15;65.2%;59.8;;;;;
35;Ty Long\LongTy00;LAC;26;P;16;0;;;;;3;2;5;4;1;1;9;7;51;77.8%;9;9;100.0%;47;2978;28;59.6%;63.4;48;2256;60;0;47.0
36;Cairo Santos\SantCa01;TEN;28;k;5;0;;;;;3;1;3;2;3;1;9;4;53;44.4%;12;12;100.0%;21;1339;12;57.1%;63.8;;;;;
37;Stephen Gostkowski\GostSt20;NWE;35;k;4;0;;;3;3;3;3;2;1;;;8;7;41;87.5%;15;11;73.3%;26;1687;21;80.8%;64.9;;;;;
38;Mike Nugent\nugenmik01;NWE;37;k;4;0;;;4;3;3;2;1;;;;8;5;37;62.5%;16;15;93.8%;;;;;;;;;;
39;Ryan Succop\SuccRy44;TEN;33;K;6;0;;;;;1;1;4;;1;;6;1;31;16.7%;25;24;96.0%;17;1015;3;17.6%;59.7;;;;;
40;Cody Parkey\ParkCo03;TEN;27;k;3;0;;;;;;;2;2;1;1;3;3;51;100.0%;6;5;83.3%;12;753;9;75.0%;62.8;;;;;
41;Kaare Vedvik\VedvKa00;NYJ;25;k;1;0;;;;;;;1;;;;1;;;0.0%;1;;0.0%;3;195;3;100.0%;65.0;;;;;
42;Lac Edwards\EdwaLa01;NYJ;27;P;16;0;;;;;;;;;;;;;;;;;;3;159;;;53.0;87;3991;63;0;45.9
43;Jake Bailey\BailJa00;NWE;22;P;16;0;;;;;;;;;;;;;;;;;;65;3973;38;58.5%;61.1;81;3638;65;0;44.9
44;Pat O'Donnell\ODonPa00;CHI;28;P;16;0;;;;;;;;;;;;;;;;;;15;962;10;66.7%;64.1;80;3586;75;1;44.8
45;Corey Bojorquez\BojoCo00;BUF;23;P;16;0;;;;;;;;;;;;;;;;;;1;50;;;50.0;79;3313;67;1;41.9
46;Tress Way*\WayxTr00;WAS;29;P;16;0;;;;;;;;;;;;;;;;;;;;;;;79;3919;79;0;49.6
47;Brett Kern*+\KernBr20;TEN;33;P;16;0;;;;;;;;;;;;;;;;;;;;;;;78;3672;70;0;47.1
48;Colby Wadman\WadmCo00;DEN;24;P;16;0;;;;;;;;;;;;;;;;;;;;;;;78;3464;64;0;44.4
49;JK Scott\ScotJK00;GNB;23;P;16;0;;;;;;;;;;;;;;;;;;;;;;;77;3386;66;0;44.0
50;Sam Martin\MartSa01;DET;29;P;16;0;;;;;;;;;;;;;;;;;;61;3740;17;27.9%;61.3;76;3445;62;0;45.3
51;Logan Cooke\CookLo00;JAX;24;P;16;0;;;;;;;;;;;;;;;;;;36;2300;16;44.4%;63.9;75;3507;66;0;46.8
52;Kevin Huber\HubeKe20;CIN;34;P;16;0;;;;;;;;;;;;;;;;;;;;;;;75;3394;63;0;45.3
53;Michael Palardy\PalaMi00;CAR;27;P;16;0;;;;;;;;;;;;;;;;;;6;155;;;25.8;75;3452;62;0;46.0
54;Jordan Berry\BerrJo00;PIT;28;P;16;0;;;;;;;;;;;;;;;;;;3;183;;;61.0;74;3368;69;0;45.5
55;Michael Dickson\DickMi00;SEA;23;P;16;0;;;;;;;;;;;;;;;;;;;;;;;74;3341;63;0;45.1
56;Cameron Johnston\JohnCa02;PHI;27;P;16;0;;;;;;;;;;;;;;;;;;;;;;;71;3292;61;0;46.4
57;Riley Dixon\DixoRi00;NYG;26;P;16;0;;;;;;;;;;;;;;;;;;1;52;;;52.0;69;3178;62;2;46.1
58;Matt Haack\HaacMa00;MIA;25;P;16;0;;;;;;;;;;;;;;;;;;2;109;;;54.5;69;3105;62;0;45.0
59;A.J. Cole\ColeAJ01;OAK;24;P;16;0;;;;;;;;;;;;;;;;;;;;;;;67;3081;74;0;46.0
60;Johnny Hekker\HekkJo00;LAR;29;P;16;0;;;;;;;;;;;;;;;;;;2;76;1;50.0%;38.0;66;3128;71;1;47.4
61;Jamie Gillan\GillJa00;CLE;22;P;16;0;;;;;;;;;;;;;;;;;;4;150;;;37.5;63;2913;71;1;46.2
62;Britton Colquitt\ColqBr00;MIN;34;P;16;0;;;;;;;;;;;;;;;;;;1;63;;;63.0;62;2802;59;0;45.2
63;Andy Lee\LeexAn20;ARI;37;P;15;0;;;;;;;;;;;;;;;;;;;;;;;61;2913;64;1;47.8
64;Thomas Morstead\MorsTh00;NOR;33;P;16;0;;;;;;;;;;;;;;;;;;1;46;;;46.0;60;2770;64;0;46.2
65;Rigoberto Sanchez\SancRi00;IND;25;P;16;0;;;;;;;;;;;;;;;;;;79;5101;60;75.9%;64.6;59;2619;60;0;44.4
66;Bradley Pinion\PiniBr00;TAM;25;P;16;0;;;;;;;;;;;;;;;;;;97;6303;88;90.7%;65.0;57;2464;63;0;43.2
67;Mitch Wishnowsky\WishMi00;SFO;27;P;16;0;;;;;;;;;;;;;;;;;;96;6105;49;51.0%;63.6;52;2333;65;0;44.9
68;Chris Jones\JoneCh02;DAL;30;P;16;0;;;;;;;;;;;;;;;;;;;;;;;50;2079;58;1;41.6
69;Dustin Colquitt\ColqDu20;KAN;37;P;16;0;;;;;;;;;;;;;;;;;;;;;;;48;2126;68;1;44.3
70;Bryan Anger\AngeBr00;HOU;31;P;14;0;;;;;;;;;;;;;;;;;;1;73;;;73.0;45;2094;71;0;46.5
71;Sam Koch\KochSa20;BAL;37;P;16;0;;;;;;;;;;;;;;;;;;;;;;;40;1855;62;1;46.4
72;Ryan Allen\AlleRy01;ATL;29;P;8;0;;;;;;;;;;;;;;;;;;;;;;;28;1172;59;0;41.9
73;Trevor Daniel\DaniTr00;HOU;25;p;2;0;;;;;;;;;;;;;;;;;;;;;;;11;479;54;0;43.5
74;Matthew Bosher\BoshMa00;ATL;32;p;3;0;;;;;;;;;;;;;;;;;;6;318;4;66.7%;53.0;9;377;52;1;41.9
75;Kasey Redfern\RedfKa00;ATL;28;p;3;0;;;;;;;;;;;;;;;;;;15;818;9;60.0%;54.5;9;371;54;0;41.2
76;Matt Wile\WileMa01;ATL;27;k;2;0;;;;;;;;;;;;;;;;;;11;633;7;63.6%;57.5;6;290;60;0;48.3
77;Ryan Winslow\WinsRy00;ARI;25;p;2;0;;;;;;;;;;;;;;;;;;;;;;;6;291;55;0;48.5
78;Greg Joseph\JoseGr00;TEN;25;k;2;0;;;;;;;;;;;;;;;9;9;100.0%;11;689;6;54.5%;62.6;;;;;
