,name_0,name_1,name_2,symbol_0,symbol_1,symbol_2,region_0,region_1,region_2,currencies_0,currencies_1,currencies_2
Apple Inc.,Apple Inc.,Apple Hospitality REIT Inc.,Apple Rush Company Inc.,AAPL,APLE,APRU,United States,United States,United States,USD,USD,USD
Astronics Corporation,Astronics Corporation,Astronics Corporation,Astronics Corporation,ATRO,ATROB,AC1.FRK,United States,United States,Frankfurt,USD,USD,EUR
Atlantic Power Corporation,Atlantic Power Corporation,AT&T Inc.,Athersys Inc.,AT,T,ATHX,United States,United States,United States,USD,USD,USD
Ballard Power Systems Inc.,Ballard Power Systems Inc.,Ballard Power Systems Inc.,Ballard Power Systems Inc.,BLDP,BLDP.TRT,PO0.FRK,United States,Toronto,Frankfurt,USD,CAD,EUR
BASF SE,BASF SE,BASF SE,BMO Short Tax-Free Fund Class A,BASFY,BFFAF,BASFX,United States,United States,United States,USD,USD,USD
Bayer Aktiengesellschaft,Bayer Aktiengesellschaft,Bayerische Motoren Werke AG,Bayer Aktiengesellschaft,BAYRY,BMWYY,BAYZF,United States,United States,United States,USD,USD,USD
Beiersdorf Aktiengesellschaft,Beiersdorf Aktiengesellschaft,Beiersdorf Aktiengesellschaft,Beiersdorf Aktiengesellschaft,BDRFY,BDRFF,BEI.DEX,United States,United States,XETRA,USD,USD,EUR
BHP Group,BHP Group,BHP Group,BHP Group,BHP,BBL,BHPLF,United States,United States,United States,USD,USD,USD
Bayerische Motoren Werke AG,Bayerische Motoren Werke AG,Bayerische Motoren Werke AG,Bayerische Motoren Werke AG,BMWYY,BMW.DEX,BMW3.DEX,United States,XETRA,XETRA,USD,EUR,EUR
The Boeing Company,The Boeing Company,The Boeing Company,The Boeing Company,BA,BA.ARG,BCO.DEX,United States,Argentina,XETRA,USD,ARS,EUR
Booking Holdings Inc.,Booking Holdings Inc.,Booking Holdings Inc.,"BOOKING HLDGS  DL-,008",BKNG,PCE1.FRK,PCE1.DEX,United States,Frankfurt,XETRA,USD,EUR,EUR
Bridgestone Corporation,Bridgestone Corporation,Bridgestone Corporation,Bridgestone Corporation,BRDCY,BRDCF,5108.TOK,United States,United States,Tokyo,USD,USD,JPY
The Carlyle Group Inc.,The Carlyle Group Inc.,Carlisle Companies Incorporated,Carlsberg A/S,CG,CSL,CABGY,United States,United States,United States,USD,USD,USD
Carnival Corp. Paired Ctf(1Sh.C,Carnival Corp. Paired Ctf(1Sh.C,Carnival Corporation & Plc,Carnival Corporation & Plc,CVC1.STG,CCL,CUK,Stuttgart,United States,United States,EUR,USD,USD
Coeur Mining Inc.,Coeur Mining Inc.,Cedar Realty Trust Inc.,ChromaDex Corporation,CDE,CDR,CDXC,United States,United States,United States,USD,USD,USD
Chevron Corporation,Chevron Corporation,Chevron Corporation,Chevron Corporation,CVX,CHV.DEX,CHVX34.SAO,United States,XETRA,Brazil/Sao Paolo,USD,EUR,BRL
China Holdings Real Estate IncR,China Holdings Real Estate IncR,China Liberal Education Holdings Limited,Direxion Daily FTSE China Bull 3X Shares,29R.STG,CLEU,YINN,Stuttgart,United States,United States,EUR,USD,USD
Citigroup Inc.,Citigroup Inc.,Citigroup Capital XIII TR PFD SECS,Citigroup Inc.,C,C-PN,C-PS,United States,United States,United States,USD,USD,USD
"CLARIANT AG Namens-Aktien SF 3,","CLARIANT AG Namens-Aktien SF 3,",Clariant AG,Clariant AG,CLRN.STG,CLZNY,CLZNF,Stuttgart,United States,United States,EUR,USD,USD
The Coca-Cola Company,The Coca-Cola Company,Coca-Cola Consolidated Inc.,Coca-Cola European Partners plc,KO,COKE,CCEP,United States,United States,United States,USD,USD,USD
Columbia Sportswear Company,Columbia Sportswear Company,Columbia Property Trust Inc.,Columbia Seligman Premium Technology Growth Fund,COLM,CXP,STK,United States,United States,United States,USD,USD,USD
Continental Aktiengesellschaft,Continental Aktiengesellschaft,Continental Resources Inc.,Continental Materials Corporation,CTTAY,CLR,CUO,United States,United States,United States,USD,USD,USD
COVESTRO AG  O.N.,COVESTRO AG  O.N.,Covestro AG,Covestro AG,1COV.DUS,COVTY,CVVTF,Dusseldorf,United States,United States,EUR,USD,USD
CrowdStrike Holdings Inc.,CrowdStrike Holdings Inc.,CrowdStrike Holdings Inc.,"CROWDSTRIKE HLD. DL-,0005",CRWD,45C.FRK,45C.MUN,United States,Frankfurt,Munich,USD,EUR,EUR
Daimler AG,Daimler AG,Daimler AG,Daimler AG,DDAIF,DMLRY,DAI.DEX,United States,United States,XETRA,USD,USD,EUR
Delta Air Lines Inc.,Delta Air Lines Inc.,Delta Apparel Inc.,Delta 9 Cannabis Inc.,DAL,DLA,VRNDF,United States,United States,United States,USD,USD,USD
Deutsche Bank Aktiengesellschaft,Deutsche Bank Aktiengesellschaft,Deutsche Lufthansa AG,Deutsche Telekom AG,DB,DLAKY,DTEGY,United States,United States,United States,USD,USD,USD
DIALOG,DIALOG,Dialog Semiconductor Plc,Dialog Semiconductor Plc,DIAL.KLA,DLGNF,DLG.DEX,Malaysia,United States,XETRA,MYR,USD,EUR
Christian Dior SE,Christian Dior SE,Christian Dior SE,FaithShares Christian Values ET,CHDRY,CHDRF,FOC,United States,United States,United States,USD,USD,USD
"DOMINOS PIZZA INC. DL-,01","DOMINOS PIZZA INC. DL-,01",Dominos Pizza Inc. Registered S,Dominos Pizza Enterprises LtdRe,EZV.MUN,EZV.STG,HQX.STG,Munich,Stuttgart,Stuttgart,EUR,EUR,EUR
BNY Mellon Strategic Municipal Bond Fund Inc.,BNY Mellon Strategic Municipal Bond Fund Inc.,Koninklijke DSM N.V.,Koninklijke DSM N.V.,DSM,RDSMY,KDSKF,United States,United States,United States,USD,USD,USD
E.ON SE,E.ON SE,Dongguan Eontec Co. Ltd.,Eonmetall Group Bhd,EONGY,300328.SHZ,7217.KLA,United States,Shenzhen,Malaysia,USD,CNY,MYR
eBay Inc.,eBay Inc.,eBay Inc. NT 56,eBay Inc.,EBAY,EBAYL,EBAY.MEX,United States,United States,Mexico,USD,USD,MXP
Electronic Arts Inc.,Electronic Arts Inc.,RADA Electronic Industries Ltd.,Kimball Electronics Inc.,EA,RADA,KE,United States,United States,United States,USD,USD,USD
EnBW Energie Baden-Wurttemberg AG,EnBW Energie Baden-Wurttemberg AG,EnBW Energie Baden-Wurttemberg AG,ENBW INTL FIN. 14/26 MTN,EBK.DEX,EBK.FRK,XS107420827.HAM,XETRA,Frankfurt,Hamburg,EUR,EUR,EUR
Enel Americas S.A.,Enel Americas S.A.,Enel Chile S.A.,Enel SpA,ENIA,ENIC,ENLAY,United States,United States,United States,USD,USD,USD
ENGIE SA,ENGIE SA,ENGIE SA,Engie Brasil Energia S.A.,ENGIY,ENGQF,EGIEY,United States,United States,United States,USD,USD,USD
Eni S.p.A.,Eni S.p.A.,Enel Americas S.A.,Enel Chile S.A.,E,ENIA,ENIC,United States,United States,United States,USD,USD,USD
Evoqua Water Technologies Corp.,Evoqua Water Technologies Corp.,Evoqua Water Technologies Corp.,Evoqua Water Technologies CorpR,AQUA,E0W.FRK,E0W.STG,United States,Frankfurt,Stuttgart,USD,EUR,EUR
Facebook Inc.,Facebook Inc.,Facebook Inc.,Facebook Inc.,FB,FB2A.DEX,FB.MEX,United States,XETRA,Mexico,USD,EUR,MXP
FedEx Corporation,FedEx Corporation,FedEx Corporation,FedEx Corporation,FDX,FDX.ARG,FDX.FRK,United States,Argentina,Frankfurt,USD,ARS,EUR
Five9 Inc.,Five9 Inc.,"FIVE9 INC.  DL-,01",Five9 Inc. Registered Shares DL,FIVN,1F9.BER,1F9.STG,United States,Berlin,Stuttgart,USD,EUR,EUR
Forward Industries Inc.,Forward Industries Inc.,Ford Motor Company,Ford Motor Company 6.20% Notes ,FORD,F,F-PB,United States,United States,United States,USD,USD,USD
Fresenius Medical Care AG & Co. KGaA,Fresenius Medical Care AG & Co. KGaA,Fresenius SE & Co. KGaA,Fresenius SE & Co. KGaA,FMS,FSNUY,FSNUF,United States,United States,United States,USD,USD,USD
Guinness Atkinson Global Energy Fund,Guinness Atkinson Global Energy Fund,Goldman Sachs Emerging Markets Equity Insights Fund Class P,GuideStone Funds Aggressive Allocation Fund Institutional Class,GAGEX,GAGPX,GAGYX,United States,United States,United States,USD,USD,USD
General Electric Company,General Electric Company,General Motors Company,General Mills Inc.,GE,GM,GIS,United States,United States,United States,USD,USD,USD
Glencore plc,Glencore plc,Glencore plc,Glencore plc,GLNCY,GLCNF,8GC.FRK,United States,United States,Frankfurt,USD,USD,EUR
The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,PT Goodyear Indonesia Tbk,"GOODYEAR TIRE & RUBBER CO.,THER",GT,GDYR.JKT,GTR.STG,United States,Jakarta,Stuttgart,USD,IDR,EUR
Hannover House Inc.,Hannover House Inc.,Hannover Ruck SE,Hannover Ruck SE,HHSE,HVRRF,HVRRY,United States,United States,United States,USD,USD,USD
HEIDELBERGCEMENT AG O.N.,HEIDELBERGCEMENT AG O.N.,HeidelbergCement AG,HeidelbergCement AG,HEI.BER,HDELY,HLBZF,Berlin,United States,United States,EUR,USD,USD
Henkel AG & Co. KGaA,Henkel AG & Co. KGaA,Henkel AG & Co. KGaA,Henkel AG & Co. KGaA,HENKY,HENOY,HELKF,United States,United States,United States,USD,USD,USD
Hugoton Royalty Trust,Hugoton Royalty Trust,Hugo Boss AG,HUGO BOSS AG,HGTXU,BOSSY,HUGPF,United States,United States,United States,USD,USD,USD
International Business Machines Corporation,International Business Machines Corporation,iShares iBonds Dec 2024 Term Muni Bond ETF,iShares iBonds Dec 2022 Term Muni Bond ETF,IBM,IBMM,IBMK,United States,United States,United States,USD,USD,USD
Infineon Technologies AG,Infineon Technologies AG,Infineon Technologies AG,Infineon Technologies AG,IFNNY,IFNNF,IFX.DEX,United States,United States,XETRA,USD,USD,EUR
Intuitive Surgical Inc.,Intuitive Surgical Inc.,Intuitive Surgical Inc.,Intuitive Surgical Inc. Registe,ISRG,ISRG.MEX,IUI1.STG,United States,Mexico,Stuttgart,USD,MXP,EUR
VanEck Vectors AMT-Free Intermediate Municipal Index ETF,VanEck Vectors AMT-Free Intermediate Municipal Index ETF,Itamar Medical Ltd.,ITM Power Plc,ITM,ITMR,ITMPF,United States,United States,United States,USD,USD,USD
Johnson & Johnson,Johnson & Johnson,Johnson Controls International plc,Johnson Outdoors Inc.,JNJ,JCI,JOUT,United States,United States,United States,USD,USD,USD
JPMorgan Chase & Co.,JPMorgan Chase & Co.,JPMorgan Ultra-Short Income ETF,JPMorgan Alerian MLP Index ETN,JPM,JPST,AMJ,United States,United States,United States,USD,USD,USD
KION GROUP AG,KION GROUP AG,KION GROUP AG,KION GROUP AG,KIGRY,KNNGF,KGX.DEX,United States,United States,XETRA,USD,USD,EUR
Jones Lang LaSalle Incorporated,Jones Lang LaSalle Incorporated,Jones Lang LaSalle Income Property Trust Inc.,Jones Lang LaSalle Income Property Trust Inc.,JLL,ZIPTAX,ZIPTMX,United States,United States,United States,USD,USD,USD
Lindsay Corporation,Lindsay Corporation,LINDSAY AUSTRALIA LTD,Lindsay Corporation,LNN,J3B.BER,LMF.FRK,United States,Berlin,Frankfurt,USD,EUR,EUR
