Unternehmen;Branche Detail;Branche aggregiert;Link zu Kennzahlen;stock_ticker;;daily_stock
JPMorgan Chase;Banken;Finanzwirtschaft;https://www.finanzen.net/aktien/jpmorgan-aktie;JPM.US;;JPM.US
KION Group;Anlagenbau;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/kion-aktie;KIGRY.US;;KIGRY.US
KLM/AirFrance;Fluggesellschaft;Aviation;https://www.finanzen.net/aktien/air_france-klm-aktie;AFLYY.US;;AFLYY.US
Kühne + Nagel;Logistik;Logistik;https://www.finanzen.net/aktien/kuehnenagel_international-aktie;;;KÜH.XETRA
L´Oréal;Konsumgüterproduktion;Food / Konsum;https://www.finanzen.net/aktien/lor%C3%A9al-aktie;LOR.XETRA;;LOR.XETRA
Lafarge;Baustoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/jordan_lafarge_cement_factories_company-aktie;HCMLY.US;;HCMLY.US
Lang Schwarz;Börse;Finanzwirtschaft;https://www.finanzen.net/aktien/lang_schwarz-aktie;LUS.XETRA;;LUS.XETRA
Linde;Anlagenbau;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/linde-aktie;LIN.US;;LIN.US
Lindsay;Wasserwirtschaft;Energie / Rohstoffe;https://www.finanzen.net/aktien/lindsay-aktie;LNN.US;;LNN.US
Lockhead ;Flugzeugbau;Aviation;https://www.finanzen.net/aktien/lockheed_martin-aktie;LMT.US;;LMT.US
London Stock Exchange;Börse;Finanzwirtschaft;https://www.finanzen.net/aktien/london_stock_exchange-aktie;LSE.LSE;;LSE.LSE
Lufthansa;Fluggesellschaft;Aviation;https://www.finanzen.net/aktien/lufthansa-aktie;DLAKY.US;;DLAKY.US
LVMH ;Mode / Textilien;Handel;https://www.finanzen.net/aktien/lvmh-aktie;LVMUY.US;;LVMUY.US
Mastercard;Zahlungsdienstleister;Finanzwirtschaft;https://www.finanzen.net/aktien/mastercard-aktie;MA.US;;MA.US
MCDonalds;Gastronomie;Food / Konsum;https://www.finanzen.net/aktien/mcdonalds-aktie;MCD.US;;MCD.US
Merck;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/merck-aktie;MRK.US;;MRK.US
Michelin;Automobilzulieferer;Automobil;https://www.finanzen.net/aktien/michelin-aktie;MGDDY.US;;MGDDY.US
Microsoft;Software;Software / Tech;https://www.finanzen.net/aktien/microsoft-aktie;MSFT.US;;MSFT.US
MLP;Versicherung;Finanzwirtschaft;https://www.finanzen.net/aktien/mlp-aktie;MLP.XETRA;;MLP.XETRA
MTU Aero Engines;Triebwerke;Aviation;https://www.finanzen.net/aktien/mtu-aktie;MTUAY.US;;MTUAY.US
Münchener Rückversichungs-Gesellschaft;Versicherung;Finanzwirtschaft;https://www.finanzen.net/aktien/munich_re-aktie;MUV2.XETRA;;MUV2.XETRA
Nasdaq;Börse;Finanzwirtschaft;https://www.finanzen.net/aktien/nasdaq-aktie;NAQ.STU;;NAQ.STU
NEL ASA;Wasserstoff / Technik;Automobil;https://www.finanzen.net/aktien/nel-aktie;NEL.US;;NEL.US
Nestle;Handel / Lebensmittel;Handel;https://www.finanzen.net/aktien/nestle-aktie;NSRGY.US;;NSRGY.US
Netflix;TV / Medien;Medien;https://www.finanzen.net/aktien/netflix-aktie;NFLX.US;;NFLX.US
Nike;Sportartikelhersteller;Handel;https://www.finanzen.net/aktien/nike-aktie;NIKE.US;;NIKE.US
Nikola;Wasserstoff / Technik;Automobil;https://www.finanzen.net/aktien/nikola-aktie;NKLA.US;;NKLA.US
Nokia;Elektrotechnik;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/nokia-aktie;NOK.US;;NOK.US
Northrop Grumman;Flugzeugbau;Aviation;https://www.finanzen.net/aktien/northrop_grumman-aktie;NOC.US;;NOC.US
Nvidia;KI / AI;Software / Tech;https://www.finanzen.net/aktien/nvidia-aktie;NVDA.US;;NVDA.US
OHB SE;Raumfahrt;Aviation;https://www.finanzen.net/aktien/ohb-aktie;OHBTF.US;;OHBTF.US
Oracle;Software;Software / Tech;https://www.finanzen.net/aktien/oracle-aktie;ORCL.US;;ORCL.US
Paypal;Zahlungsdienstleister;Finanzwirtschaft;https://www.finanzen.net/aktien/paypal-aktie;PYPL.US;;PYPL.US
Procter Gamble;Konsumgüterproduktion;Food / Konsum;https://www.finanzen.net/aktien/procter_gamble-aktie;PG.US;;PG.US
ProSieben/Sat1;TV / Medien;Medien;https://www.finanzen.net/aktien/prosiebensat1-aktie;PSM.XETRA;PBSFY.US;PSM.XETRA
Prudential;Versicherung;Finanzwirtschaft;https://www.finanzen.net/aktien/prudential-aktie;PRU.US;PRU.LSE;PRU.US
Puma;Sportartikelhersteller;Handel;https://www.finanzen.net/aktien/puma-aktie;PUM.XETRA;PUMSY.US;PUM.XETRA
Qantan Airways;Fluggesellschaft;Aviation;https://www.finanzen.net/aktien/qantas_airways-aktie;QAN.AU;QABSY.US;QAN.AU
Rio Tinto;Bergbau / Mineralstoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/rio_tinto-aktie;RIO.US;RIO1.XETRA;RIO.US
Roche;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/roche-aktie;RHHVF.US;ROG.SW;RHHVF.US
Rolls-Royce;Triebwerke;Aviation;https://www.finanzen.net/aktien/rolls-royce-aktie;RR.LSE;RYCEY.US;RR.LSE
Royal Caribbean;Tourismus;Tourismus;https://www.finanzen.net/aktien/royal_caribbean_cruises-aktie;RCL.US;RC8.F;RCL.US
RTL;TV / Medien;Medien;https://www.finanzen.net/aktien/rtl-aktie;RRTL.XETRA;;RRTL.XETRA
RWE;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/rwe-aktie;RWE.XETRA;;RWE.XETRA
Safran;Triebwerke;Aviation;https://www.finanzen.net/aktien/safran-aktie;0IU8.LSE;;0IU8.LSE
Saint-Gobain;Baustoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/saint-gobain-aktie;COD.LSE;;COD.LSE
SAP;Software;Software / Tech;https://www.finanzen.net/aktien/sap-aktie;CODYY.US;;CODYY.US
Shell;Öl;Energie / Rohstoffe;https://www.finanzen.net/aktien/shell-aktie;RDS-A.US;RDSB.LSW;RDS-A.US
Siemens;Elektrotechnik;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/siemens-aktie;SIE.XETRA;SIEGY.US;SIE.XETRA
Sociétè Générale;Banken;Finanzwirtschaft;https://www.finanzen.net/aktien/societe_generale__(spons_adrs)-aktie;SGE.XETRA;SCGLY.US;SGE.XETRA
Starbucks;Gastronomie;Food / Konsum;https://www.finanzen.net/aktien/starbucks-aktie;SBUX.US;;SBUX.US
Take Two Interactive;Gaming / E-Sport;Software / Tech;https://www.finanzen.net/aktien/take_two-aktie;TKE.STU;TTWO.US;TKE.STU
Target;Handel / Lebensmittel;Handel;https://www.finanzen.net/aktien/target-aktie;TGT.US;;TGT.US
Tesla;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/tesla-aktie;TSLA.US;TL0.STU;TSLA.US
Texas Instruments;Halbleiter;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/texas_instruments-aktie;TXN.US;;TXN.US
The Trade Desk;KI / AI;Software / Tech;https://www.finanzen.net/aktien/the_trade_desk_a-aktie;TTD.US;;TTD.US
TOTAL;Öl;Energie / Rohstoffe;https://www.finanzen.net/aktien/total-aktie;TOT.US;;TOT.US
Total System Services;Zahlungsdienstleister;Finanzwirtschaft;https://www.finanzen.net/aktien/total_system_services-aktie;TSS.US;;TSS.US
Toyota;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/toyota-aktie;TM.US;;TM.US
TUI;Tourismus;Tourismus;https://www.finanzen.net/aktien/tui-aktie;TUI1.XETRA;TUIFF.US;TUI1.XETRA
UBER;Logistik;Logistik;https://www.finanzen.net/aktien/uber-aktie;UBER.US;;UBER.US
Unilever;Konsumgüterproduktion;Food / Konsum;https://www.finanzen.net/aktien/unilever-aktie;UN.US;UNI2.XETRA;UN.US
United Internet;Telekommunikation;Software / Tech;https://www.finanzen.net/aktien/united_internet-aktie;UTDI.XETRA;UDIRF.US;UTDI.XETRA
UPS;Logistik;Logistik;https://www.finanzen.net/aktien/ups-aktie;UPS.US;;UPS.US
Veolia Environnement;Wasserwirtschaft;Energie / Rohstoffe;https://www.finanzen.net/aktien/veolia_environnement-aktie;VVD.XETRA;VEOEY.US;VVD.XETRA
VINCI;Baustoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/vinci-aktie;SQU.XETRA;;SQU.XETRA
Virgin Galactic;Raumfahrt;Aviation;https://www.finanzen.net/aktien/virgin_galactic-aktie;SPCE.US;;SPCE.US
Volkswagen;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/volkswagen_vz-aktie;VOW3.XETRA;VLKAF.US;VOW3.XETRA
Vonovia;Immobilien;Immobilien;https://www.finanzen.net/aktien/vonovia-aktie;VNA.XETRA;VONOY.US;VNA.XETRA
Walmart;Handel / Lebensmittel;Handel;https://www.finanzen.net/aktien/walmart-aktie;WMT.US;;WMT.US
Walt Disney;TV / Medien;Medien;https://www.finanzen.net/aktien/disney-aktie;DIS.US;WDP.XETRA;DIS.US
Wirecard;Zahlungsdienstleister;Finanzwirtschaft;https://www.finanzen.net/aktien/wirecard-aktie;WDI.XETRA;WRCDF.US;WDI.XETRA
Xylem ;Wasserwirtschaft;Energie / Rohstoffe;https://www.finanzen.net/aktien/xylem-aktie;XYL.US;XY6.XETRA;XYL.US
Zalando;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/zalando-aktie;ZAL.XETRA;ZLNDY.US;ZAL.XETRA
Zebra Technologies;KI / AI;Software / Tech;https://www.finanzen.net/aktien/zebra_technologies-aktie;ZBRA.US;;ZBRA.US
