Unternehmen;Branche Detail;Branche aggregiert;Link zu Kennzahlen;stock_ticker;;daily_stock
1&1 Drillisch;Telekommunikation;Software / Tech;https://www.finanzen.net/aktien/drillisch-aktie;DRI.XETRA;DRI.STU;DRI.XETRA
AAR Corp.;Raumfahrt;Aviation;https://www.finanzen.net/aktien/aar-aktie;AIR.US;;AIR.US
Activision;Gaming / E-Sport;Software / Tech;https://www.finanzen.net/aktien/activision_blizzard-aktie;AIY.XETRA;ATVI.US;AIY.XETRA
ADIDAS;Sportartikelhersteller;Handel;https://www.finanzen.net/aktien/adidas-aktie;ADS.XETRA;ADDYY.US;ADS.XETRA
Adler Real Estate;Immobilien;Immobilien;https://www.finanzen.net/aktien/adler_real_estate-aktie;ADL.XETRA;;ADL.XETRA
Intel;Halbleiter;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/intel-aktie;INL.XETRA;;INL.XETRA
Agilent Technologies;Elektrotechnik;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/agilent_technologies-aktie;AG8.XETRA;;AG8.XETRA
Air Liquide;Anlagenbau;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/air_liquide-aktie;AIL.XETRA;;AIL.XETRA
Air Products and Chemicals;Anlagenbau;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/air_products_and_chemicals-aktie;APD.US;;APD.US
Airbus;Flugzeugbau;Aviation;https://www.finanzen.net/aktien/airbus-aktie;AIR.XETRA;;AIR.XETRA
Alibaba;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/alibaba-aktie;BABA.US;;BABA.US
Allianz;Versicherung;Finanzwirtschaft;https://www.finanzen.net/aktien/allianz-aktie;ALV.XETRA;;ALV.XETRA
Alphabet ;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/alphabet_a-aktie;ABEA.XETRA;;ABEA.XETRA
Amazon;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/amazon-aktie;AMZN.XETRA;;AMZN.XETRA
American Airlines;Fluggesellschaft;Aviation;https://www.finanzen.net/aktien/american_airlines-aktie;AAL.US;;AAL.US
Apple;Software;Software / Tech;https://www.finanzen.net/aktien/apple-aktie;AAPL.US;;AAPL.US
Astronics;Raumfahrt;Aviation;https://www.finanzen.net/aktien/astronics-aktie;ATRO.US;;ATRO.US
AT&S;Elektrotechnik;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/at_s-aktie;AUS.STU;;AUS.STU
AT&T;Telekommunikation;Software / Tech;https://www.finanzen.net/aktien/at_t-aktie;T.US;;T.US
Ballard Power Systems;Wasserstoff / Technik;Automobil;https://www.finanzen.net/aktien/ballard_power-aktie;PO0.STU;;PO0.STU
BASF;Chemie;Pharma/Chemie;https://www.finanzen.net/aktien/basf-aktie;BAS.XETRA;;BAS.XETRA
Bayer;Chemie;Pharma/Chemie;https://www.finanzen.net/aktien/bayer-aktie;BAYN.XETRA;;BAYN.XETRA
Beiersdorf;Konsumgüterproduktion;Food / Konsum;https://www.finanzen.net/aktien/beiersdorf-aktie;BEI.XETRA;;BEI.XETRA
BHP Billiton;Bergbau / Mineralstoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/bhp_billiton_2-aktie;BHP1.STU;;BHP1.STU
BMW;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/bmw-aktie;BMW.XETRA;;BMW.XETRA
Boeing;Flugzeugbau;Aviation;https://www.finanzen.net/aktien/boeing-aktie;BA.US;;BA.US
Booking;Tourismus;Tourismus;https://www.finanzen.net/aktien/booking_1-aktie;BKNG.US;;BKNG.US
Bridgestone;Automobilzulieferer;Automobil;https://www.finanzen.net/aktien/bridgestone-aktie;BGT.STU;;BGT.STU
Carl Zeiss Meditec;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/carl_zeiss_meditec-aktie;AFX.XETRA;;AFX.XETRA
Carnival;Tourismus;Tourismus;https://www.finanzen.net/aktien/carnival-aktie;CCL.US;;CCL.US
CD Projekt;Gaming / E-Sport;Software / Tech;https://www.finanzen.net/aktien/cd_projekt_red-aktie;CDR.WAR;;CDR.WAR
Chevron;Öl;Energie / Rohstoffe;https://www.finanzen.net/aktien/chevron-aktie;CVX.US;;CVX.US
China Shenhua Engery;Bergbau / Mineralstoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/china_shenhua_energy_company_3-aktie;CSUAY.US;;CSUAY.US
Citigroup;Banken;Finanzwirtschaft;https://www.finanzen.net/aktien/citigroup-aktie;TRVC.XETRA;;TRVC.XETRA
Clariant;Chemie;Pharma/Chemie;https://www.finanzen.net/aktien/clariant-aktie;CLZNY.US;;CLZNY.US
Coca Cola;Handel / Lebensmittel;Handel;https://www.finanzen.net/aktien/coca-cola-aktie;KO.US;;KO.US
Columbia Sportswear;Sportartikelhersteller;Handel;https://www.finanzen.net/aktien/columbia_sportswear-aktie;COLM.US;;COLM.US
Continental;Automobilzulieferer;Automobil;https://www.finanzen.net/aktien/continental-aktie;CON.XETRA;;CON.XETRA
Covestro;Chemie;Pharma/Chemie;https://www.finanzen.net/aktien/covestro-aktie;COVTY.US;;COVTY.US
CrowdStrike ;KI / AI;Software / Tech;https://www.finanzen.net/aktien/crowdstrike-aktie;CRWD.US;;CRWD.US
Daimler;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/daimler-aktie;DDAIF.US;;DDAIF.US
Delivery Hero;Gastronomie;Food / Konsum;https://www.finanzen.net/aktien/delivery_hero-aktie;DLVHF.US;;DLVHF.US
Delta;Fluggesellschaft;Aviation;https://www.finanzen.net/aktien/delta_air_lines-aktie;DAL.US;;DAL.US
Deutsche Bank;Banken;Finanzwirtschaft;https://www.finanzen.net/aktien/deutsche_bank-aktie;DB.US;;DB.US
Deutsche Börse;Börse;Finanzwirtschaft;https://www.finanzen.net/aktien/deutsche_boerse-aktie;EL4U.XETRA;;EL4U.XETRA
Deutsche Post;Logistik;Logistik;https://www.finanzen.net/aktien/deutsche_post-aktie;DPSGY.US;;DPSGY.US
Deutsche Telekom;Telekommunikation;Software / Tech;https://www.finanzen.net/aktien/deutsche_telekom-aktie;DTEGY.US;;DTEGY.US
Deutsche Wohnen;Immobilien;Immobilien;https://www.finanzen.net/aktien/deutsche_wohnen-aktie;DTCWY.US;;DTCWY.US
Dialog Semiconductor;Halbleiter;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/dialog_semiconductor-aktie;DLGNF.US;;DLGNF.US
Dior;Mode / Textilien;Handel;https://www.finanzen.net/aktien/christian_dior-aktie;CHDRF.US;;CHDRF.US
Dominos;Gastronomie;Food / Konsum;https://www.finanzen.net/aktien/dominos_pizza-aktie;DPZ.US;;DPZ.US
DSM NV;Chemie;Pharma/Chemie;https://www.finanzen.net/aktien/dsm-aktie;RDSMY.US;;RDSMY.US
E.ON;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/eon-aktie;EONGY.US;;EONGY.US
Ebay;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/ebay-aktie;EBAY.US;;EBAY.US
Electronic Arts;Gaming / E-Sport;Software / Tech;https://www.finanzen.net/aktien/electronic_arts-aktie;EA.US;;EA.US
EnBW;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/enbw-aktie;EBK.XETRA;;EBK.XETRA
Enel;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/enel-aktie;ENL.XETRA;;ENL.XETRA
Engie;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/engie-aktie;GZF.XETRA;;GZF.XETRA
Eni;Energieversorger;Energie / Rohstoffe;https://www.finanzen.net/aktien/eni-aktie;ENI.XETRA;;ENI.XETRA
Evoqua Water;Wasserwirtschaft;Energie / Rohstoffe;https://www.finanzen.net/aktien/evoqua_water_technologies-aktie;AQUA.US;;AQUA.US
ExxonMobil;Öl;Energie / Rohstoffe;https://www.finanzen.net/aktien/exxonmobil-aktie;XOM.US;;XOM.US
Facebook;E-Commerce;Software / Tech;https://www.finanzen.net/aktien/facebook-aktie;FB.US;;FB.US
FEDEX;Logistik;Logistik;https://www.finanzen.net/aktien/fedex-aktie;FDX.US;;FDX.US
Five9;KI / AI;Software / Tech;https://www.finanzen.net/aktien/five9-aktie;FIVN.US;;FIVN.US
Ford;Automobilhersteller;Automobil;https://www.finanzen.net/aktien/ford-aktie;FORD.US;;FORD.US
Fresenius;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/fresenius-aktie;FSNUY.US;;FSNUY.US
Fresenius Medical Care;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/fresenius_medical_care_2-aktie;FMS.US;;FMS.US
GAG Immobilien;Immobilien;Immobilien;https://www.finanzen.net/aktien/gag_immobilien-aktie;;;GAG.XETRA
General Electric;Triebwerke;Aviation;https://www.finanzen.net/aktien/general_electric-aktie;GE.US;;GE.US
Glencore Plc;Bergbau / Mineralstoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/glencore-aktie;GLNCY.US;;GLNCY.US
Goodyear Tire Rubber;Automobilzulieferer;Automobil;https://www.finanzen.net/aktien/goodyear_tirerubber-aktie;GT.US;;GT.US
Hannover Rück;Versicherung;Finanzwirtschaft;https://www.finanzen.net/aktien/hannover_rueck_1-aktie;HVRRY.US;;HVRRY.US
HeidelbergCement;Baustoffe;Energie / Rohstoffe;https://www.finanzen.net/aktien/heidelbergcement-aktie;HDELY.US;;HDELY.US
Henkel;Konsumgüterproduktion;Food / Konsum;https://www.finanzen.net/chart/henkel;HENKY.US;;HENKY.US
Hermès;Mode / Textilien;Handel;https://www.finanzen.net/aktien/herm%C3%A8s-aktie;HESAY.US;;HESAY.US
Hugo Boss;Mode / Textilien;Handel;https://www.finanzen.net/aktien/hugo_boss-aktie;BOSSY.US;;BOSSY.US
IBM;Software;Software / Tech;https://www.finanzen.net/aktien/ibm-aktie;IBM.US;;IBM.US
Infineon;Halbleiter;Maschinenbau / Elektrotechnik;https://www.finanzen.net/aktien/infineon-aktie;IFNNY.US;;IFNNY.US
Intuitive Surgical;KI / AI;Software / Tech;https://www.finanzen.net/aktien/intuitive_surgical-aktie;ISRG.US;;ISRG.US
ITM Power;Wasserstoff / Technik;Automobil;https://www.finanzen.net/aktien/itm_power-aktie;ITMPF.US;;ITMPF.US
Johnson Johnson;Pharma;Pharma/Chemie;https://www.finanzen.net/aktien/johnson_johnson-aktie;JNJ.US;;JNJ.US
