,Country,Confirmed,Deaths,Recovered,population,continent,area,borders,alpha3,ratio
0,China,4766135,169091,2924580,1367110000,Asia,9640011.0,15,CHN,0.34862849368375626
1,Italy,2078445,223179,290639,60769102,Europe,301336.0,6,ITA,3.4202331967979385
2,Spain,1614510,137486,338781,46507760,Europe,505992.0,5,ESP,3.4714851887082934
3,Germany,1249835,14032,253837,80783000,Europe,357114.0,9,DEU,1.547151009494572
4,France,987341,72246,159620,66078000,Europe,640679.0,8,FRA,1.4942053330911953
5,Iran,915866,58527,313560,77966400,Asia,1648195.0,7,IRN,1.174693201173839
6,United Kingdom,467609,38835,3676,64105654,Europe,242900.0,1,GBR,0.7294348794881649
7,Switzerland,296853,7148,50483,8183800,Europe,41284.0,5,CHE,3.627324714680222
8,Turkey,228840,4483,6642,76667864,Asia,783562.0,8,TUR,0.29848229500694057
9,Netherlands,219626,17252,2633,16881000,Europe,41850.0,2,NLD,1.3010248208044548
10,Belgium,216247,12524,31708,11225469,Europe,30528.0,4,BEL,1.9263961265226424
11,Austria,166953,1951,21104,8527230,Europe,83871.0,8,AUT,1.9578808124091878
12,Portugal,120064,2651,992,10477800,Europe,92090.0,1,PRT,1.145889404264254
13,Brazil,108753,4080,1179,203586000,Americas,8515767.0,10,BRA,0.05341870266128319
14,Norway,90039,685,283,5156450,Europe,323802.0,3,NOR,1.7461431799009008
15,Sweden,88739,3692,1449,9737521,Europe,450295.0,2,SWE,0.9113099730413932
16,Israel,87496,411,4306,8268400,Asia,20770.0,4,ISR,1.0581974747230418
17,Australia,74385,412,7715,23696900,Oceania,7692024.0,0,AUS,0.31390181838130726
18,Denmark,62507,1638,9830,5655750,Europe,43094.0,1,DNK,1.1051938292887769
19,Ireland,55549,1278,190,6378000,Europe,70273.0,1,IRL,0.8709470053308247
20,Malaysia,52461,655,10613,30430500,Asia,330803.0,3,MYS,0.1723961157391433
21,Japan,51560,1368,9636,127080000,Asia,377930.0,0,JPN,0.04057286748504879
22,Russia,46718,335,2898,146233000,Europe,17124442.0,14,RUS,0.031947645196364706
23,Chile,46398,247,4348,17819054,Americas,756102.0,3,CHL,0.2603841932349495
24,Poland,42097,793,856,38496000,Europe,312679.0,7,POL,0.10935421862011638
25,Ecuador,40353,1515,672,15888900,Americas,276841.0,2,ECU,0.25396975246870457
26,Romania,39074,1324,3845,19942642,Europe,238391.0,5,ROU,0.19593191313367606
27,Pakistan,36588,426,1736,188410000,Asia,881912.0,4,PAK,0.019419351414468447
28,Luxembourg,35974,404,2930,549700,Europe,2586.0,3,LUX,6.544296889212298
29,India,34205,899,2645,1263930000,Asia,3287590.0,8,IND,0.0027062416431289705
30,Philippines,33261,1672,818,100697400,Asia,342353.0,0,PHL,0.033030644286744244
31,Thailand,28844,214,7073,64871000,Asia,513120.0,4,THA,0.04446362781520248
