,Country,Confirmed,Deaths,Recovered,population,continent,area,borders,alpha3,ratio
32,Saudi Arabia,27891,243,3607,30770375,Asia,2149690.0,7,SAU,0.09064237923652214
33,Indonesia,27018,2316,1630,252164800,Asia,1904569.0,3,IDN,0.01071442167979036
34,Finland,26291,239,2012,5470437,Europe,338424.0,3,FIN,0.4806014583478431
35,Greece,24976,806,1370,10992589,Europe,131990.0,4,GRC,0.22720762142567144
36,Singapore,21641,61,6662,5469700,Asia,710.0,0,SGP,0.39565241238093496
37,Peru,21576,651,6187,30814175,Americas,1285216.0,5,PER,0.07001972306576437
38,Iceland,21254,57,3673,328170,Europe,103000.0,0,ISL,6.476521315172014
39,South Africa,21195,76,758,54002000,Africa,1221037.0,6,ZAF,0.03924854635013518
40,Qatar,19970,30,1250,2269672,Asia,11586.0,1,QAT,0.8798628171823947
41,United Arab Emirates,16636,100,1786,9446000,Asia,83600.0,2,ARE,0.17611687486766886
42,Argentina,16065,452,2867,42669500,Americas,2780400.0,5,ARG,0.03764984356507576
43,Colombia,15875,292,619,47907800,Americas,1141748.0,5,COL,0.033136566488129286
44,Slovenia,15335,251,582,2064966,Europe,20273.0,4,SVN,0.7426272393831181
45,Egypt,14800,842,3028,87668100,Africa,1002450.0,3,EGY,0.016881853262475176
46,Estonia,14344,110,509,1315819,Europe,45227.0,2,EST,1.0901195377175736
47,Croatia,14287,118,1149,4267558,Europe,56594.0,5,HRV,0.3347816245262513
48,Algeria,13294,1221,1161,38700000,Africa,2381741.0,7,DZA,0.034351421188630486
49,Bahrain,12771,70,5901,1316500,Asia,765.0,0,BHR,0.9700721610330423
50,Iraq,12681,915,3336,36004552,Asia,438317.0,6,IRQ,0.035220546557557506
51,Ukraine,11141,310,203,42973696,Europe,603700.0,7,UKR,0.025925161289361752
52,New Zealand,10267,10,1319,4547900,Oceania,270467.0,0,NZL,0.22575254513071968
53,Morocco,10155,622,545,33465000,Africa,446550.0,3,MAR,0.03034513670999552
54,Armenia,9347,60,561,3009800,Asia,29743.0,4,ARM,0.31055219615921326
55,Lithuania,8856,127,80,2927310,Europe,65300.0,4,LTU,0.30253030939668163
56,Lebanon,8809,230,626,4104000,Asia,10452.0,2,LBN,0.21464424951267058
57,Hungary,8217,337,680,9879000,Europe,93028.0,7,HUN,0.08317643486182812
58,Kuwait,7844,4,1282,3268431,Asia,17818.0,2,KWT,0.2399928283632116
59,Moldova,7484,108,260,3557600,Europe,33846.0,2,MDA,0.210366539239937
60,Bosnia and Herzegovina,7113,202,313,3791622,Europe,51209.0,3,BIH,0.1875978143390876
61,Bulgaria,7100,187,319,7245677,Europe,110879.0,5,BGR,0.09798946323442241
62,Latvia,6806,6,89,1991800,Europe,64559.0,4,LVA,0.34170097399337285
63,Slovakia,6787,13,105,5415949,Europe,49037.0,5,SVK,0.12531506482058824
64,Tunisia,6195,193,74,10982754,Africa,163610.0,2,TUN,0.0564066171381058
65,Kazakhstan,5689,45,343,17377800,Asia,2724900.0,5,KAZ,0.03273717041282556
66,Azerbaijan,5593,79,447,9552500,Asia,86600.0,5,AZE,0.05855011777021722
67,Uruguay,5417,36,652,3404189,Americas,181034.0,2,URY,0.15912747500212238
68,San Marino,5260,534,286,32743,Europe,61.0,1,SMR,16.064502336377238
69,Cyprus,4992,109,352,858000,Europe,9251.0,1,CYP,0.5818181818181818
70,Belarus,4848,50,711,9475100,Europe,207600.0,5,BLR,0.05116568690567909
71,Jordan,4678,52,711,6666960,Asia,89342.0,4,JOR,0.07016691265584314
72,Cameroon,4636,81,154,20386799,Africa,475442.0,6,CMR,0.0227402055614518
73,Vietnam,4593,0,1439,89708900,Asia,331212.0,3,VNM,0.00511989334391571
74,Albania,4526,222,923,2895947,Europe,28748.0,4,ALB,0.15628739061868188
75,Burkina Faso,4184,204,698,17322796,Africa,272967.0,6,BFA,0.024153144792561202
76,Oman,3692,12,758,4089076,Asia,309500.0,3,OMN,0.09028934654185933
77,Afghanistan,3454,84,112,26023100,Asia,652230.0,6,AFG,0.013272822991880292
78,Malta,3267,0,58,416055,Europe,316.0,0,MLT,0.7852327216353607
79,Uzbekistan,3260,23,208,30492800,Asia,447400.0,5,UZB,0.010691048378633645
80,Senegal,2940,11,699,13508715,Africa,196722.0,5,SEN,0.02176372808220471
81,Ghana,2670,73,257,27043093,Africa,238533.0,3,GHA,0.009873131006131585
82,Sri Lanka,2666,38,330,20277597,Asia,65610.0,1,LKA,0.013147514471266
83,Brunei,2626,11,648,393372,Asia,5765.0,1,BRN,0.6675614939548316
84,Georgia,2386,8,363,4490500,Asia,69700.0,4,GEO,0.05313439483353748
85,Venezuela,2382,54,632,30206307,Americas,916445.0,3,VEN,0.007885770345908224
86,Nigeria,2351,39,230,178517000,Africa,923768.0,4,NGA,0.0013169614098377184
87,Mauritius,2292,74,29,1261208,Africa,2040.0,0,MUS,0.18173053136358158
88,Cambodia,2049,0,459,15184116,Asia,181035.0,3,KHM,0.013494364769078424
89,Bolivia,1725,80,10,10027254,Americas,1098581.0,5,BOL,0.017203114631383628
90,Kyrgyzstan,1679,11,104,5776570,Asia,199951.0,4,KGZ,0.02906569123199407
91,Kenya,1281,34,37,41800000,Africa,580367.0,5,KEN,0.0030645933014354066
92,Niger,1270,65,65,17138707,Africa,1267000.0,7,NER,0.00741012726339274
93,Rwanda,1250,0,15,10996891,Africa,26338.0,4,RWA,0.01136684904851744
94,Liechtenstein,1221,4,110,37132,Europe,160.0,2,LIE,3.288268878595282
95,Paraguay,1212,51,65,6893727,Americas,406752.0,3,PRY,0.017581200996210033
96,Bangladesh,1162,113,336,157486000,Asia,147570.0,2,BGD,0.0007378433638545648
97,Monaco,908,10,32,36950,Europe,2.02,1,MCO,2.4573748308525034
98,Madagascar,769,0,11,21842167,Africa,587041.0,0,MDG,0.0035207129402499305
99,Guinea,763,0,22,10628972,Africa,245857.0,6,GIN,0.007178492896584919
100,Togo,601,24,148,6993000,Africa,56785.0,3,TGO,0.008594308594308594
101,Uganda,552,0,0,34856813,Africa,241550.0,5,UGA,0.0015836215433694411
102,Djibouti,536,0,43,886000,Africa,23200.0,3,DJI,0.060496613995485324
103,Ethiopia,473,6,40,87952991,Africa,1104300.0,6,ETH,0.0005377872822994729
104,Zambia,464,6,19,15023315,Africa,752612.0,8,ZMB,0.0030885327239693772
105,Maldives,422,0,169,341256,Asia,300.0,0,MDV,0.12366082940666245
106,Mali,401,32,23,15768000,Africa,1240192.0,7,MLI,0.00254312531709792
107,Tanzania,313,8,25,47421786,Africa,945087.0,8,TZA,0.0006600341876621855
108,Guyana,313,48,16,784894,Americas,214969.0,3,GUY,0.03987799626446374
109,Mongolia,250,0,20,2987733,Asia,1564110.0,2,MNG,0.008367548238078837
110,Eritrea,244,0,0,6536000,Africa,117600.0,3,ERI,0.003733170134638923
111,Gabon,242,19,5,1711000,Africa,267668.0,3,GAB,0.014143775569842199
112,Equatorial Guinea,240,0,12,1430000,Africa,28051.0,2,GNQ,0.016783216783216783
113,Namibia,201,0,36,2113077,Africa,825615.0,4,NAM,0.009512194775675472
114,Benin,200,2,22,9988068,Africa,112622.0,4,BEN,0.002002389250854119
115,Seychelles,183,0,0,89949,Africa,452.0,0,SYC,0.20344862088516827
116,Syria,167,19,0,22964324,Asia,185180.0,5,SYR,0.0007272149617815879
117,Suriname,158,5,0,534189,Americas,163820.0,4,SUR,0.029577546523795885
118,Guinea-Bissau,146,0,0,1746000,Africa,36125.0,2,GNB,0.00836197021764032
119,Nepal,145,0,56,27646053,Asia,147181.0,2,NPL,0.0005244871663958686
120,Libya,140,6,3,6253000,Africa,1759540.0,6,LBY,0.0022389253158483927
121,Angola,129,20,12,24383301,Africa,1246700.0,4,AGO,0.0005290505990144649
122,Sudan,126,35,15,37289406,Africa,1886068.0,7,SDN,0.0003378975787385833
123,Mozambique,126,0,0,25041922,Africa,801590.0,6,MOZ,0.0005031562673184591
124,Fiji,119,0,0,859178,Oceania,18272.0,0,FJI,0.013850447753550486
125,Zimbabwe,118,17,0,13061239,Africa,390757.0,4,ZWE,0.0009034364963385174
126,Liberia,111,10,12,4397000,Africa,111369.0,3,LBR,0.0025244484876051853
127,Chad,95,0,2,13211000,Africa,1284000.0,6,TCD,0.0007190977215956399
128,Mauritania,88,9,20,3545620,Africa,1030700.0,4,MRT,0.002481935458396557
129,Central African Republic,87,0,0,4709000,Africa,622984.0,6,CAF,0.0018475260140157145
130,Bhutan,80,0,11,755030,Asia,38394.0,2,BTN,0.010595605472630226
131,Somalia,75,0,8,10806000,Africa,637657.0,3,SOM,0.000694058856191005
132,Botswana,41,8,0,2024904,Africa,582000.0,4,BWA,0.002024787347943409
133,Sierra Leone,29,0,0,6205000,Africa,71740.0,2,SLE,0.0004673650282030621
134,Malawi,27,1,0,15805239,Africa,118484.0,3,MWI,0.00017082943193709376
135,Burundi,22,0,0,9530434,Africa,27834.0,3,BDI,0.0002308394350141872
136,Papua New Guinea,21,0,0,7398500,Oceania,462840.0,1,PNG,0.00028384131918632153
137,South Sudan,4,0,0,11384393,Africa,619745.0,6,SSD,3.513582147067481e-05
