Date,Country,Lat,Long,Confirmed,Deaths,Recovered,alpha3,continent,population,area,borders
2020-01-22,Afghanistan,33.0,65.0,0,0,0,AFG,Asia,26023100,652230.0,6
2020-01-22,Albania,41.1533,20.1683,0,0,0,ALB,Europe,2895947,28748.0,4
2020-01-22,Algeria,28.0339,1.6596,0,0,0,DZA,Africa,38700000,2381741.0,7
2020-01-22,Angola,-11.2027,17.8739,0,0,0,AGO,Africa,24383301,1246700.0,4
2020-01-22,Argentina,-38.4161,-63.6167,0,0,0,ARG,Americas,42669500,2780400.0,5
2020-01-22,Armenia,40.0691,45.0382,0,0,0,ARM,Asia,3009800,29743.0,4
2020-01-22,Australia,-35.4735,149.0124,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-33.8688,151.2093,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-12.4634,130.8456,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-28.0167,153.4,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-34.9285,138.6007,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-41.4545,145.9707,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-37.8136,144.9631,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Australia,-31.9505,115.8605,0,0,0,AUS,Oceania,23696900,7692024.0,0
2020-01-22,Austria,47.5162,14.5501,0,0,0,AUT,Europe,8527230,83871.0,8
2020-01-22,Azerbaijan,40.1431,47.5769,0,0,0,AZE,Asia,9552500,86600.0,5
2020-01-22,Bahrain,26.0275,50.55,0,0,0,BHR,Asia,1316500,765.0,0
2020-01-22,Bangladesh,23.685,90.3563,0,0,0,BGD,Asia,157486000,147570.0,2
2020-01-22,Belarus,53.7098,27.9534,0,0,0,BLR,Europe,9475100,207600.0,5
2020-01-22,Belgium,50.8333,4.0,0,0,0,BEL,Europe,11225469,30528.0,4
2020-01-22,Benin,9.3077,2.3158,0,0,0,BEN,Africa,9988068,112622.0,4
2020-01-22,Bhutan,27.5142,90.4336,0,0,0,BTN,Asia,755030,38394.0,2
2020-01-22,Bolivia,-16.2902,-63.5887,0,0,0,BOL,Americas,10027254,1098581.0,5
