,Fantasy Points,VBD,TD,YDS,Attempts (Y/A),pos
0,Christian McCaffrey,Christian McCaffrey,Todd Gurley,Ezekiel Elliott,Brandon Bolden,RB
1,Ezekiel Elliott,Ezekiel Elliott,Derrick Henry,Derrick Henry,Raheem Mostert,RB
2,Todd Gurley,Todd Gurley,Aaron Jones,Nick Chubb,Dwayne Washington,RB
3,Saquon Barkley,Saquon Barkley,Christian McCaffrey,Christian McCaffrey,Brian Hill,RB
4,Derrick Henry,Derrick Henry,Alvin Kamara,Chris Carson,Jordan Wilkins,RB
5,Alvin Kamara,Alvin Kamara,Ezekiel Elliott,Saquon Barkley,Patrick DiMarco,RB
6,Aaron Jones,Aaron Jones,Melvin Gordon,Joe Mixon,Justin Jackson,RB
7,Nick Chubb,Nick Chubb,Marlon Mack,Todd Gurley,Kenjon Barner,RB
8,Joe Mixon,Joe Mixon,Saquon Barkley,Phillip Lindsay,Rashaad Penny,RB
9,Chris Carson,Chris Carson,Nick Chubb,Marlon Mack,Gus Edwards,RB
10,Melvin Gordon,Phillip Lindsay,Mark Ingram,Adrian Peterson,Matt Breida,RB
11,Phillip Lindsay,Marlon Mack,Chris Carson,Sony Michel,Nick Chubb,RB
12,Dalvin Cook,Kenyan Drake,James Conner,Aaron Jones,Aaron Jones,RB
13,Austin Ekeler,Dalvin Cook,Phillip Lindsay,Dalvin Cook,Derrick Henry,RB
14,Mark Ingram,Austin Ekeler,Dalvin Cook,Alvin Kamara,Duke Johnson,RB
15,James Conner,Mark Ingram,Jordan Howard,Mark Ingram,Phillip Lindsay,RB
16,Marlon Mack,Leonard Fournette,Sony Michel,Carlos Hyde,Devontae Booker,RB
17,James White,Raheem Mostert,Joe Mixon,Leonard Fournette,Mike Boone,RB
18,Kenyan Drake,Carlos Hyde,Adrian Peterson,Melvin Gordon,Christian McCaffrey,RB
19,David Johnson,Sony Michel,Kenyan Drake,Jordan Howard,Mark Ingram,RB
20,Adrian Peterson,Devonta Freeman,Carlos Hyde,Matt Breida,Saquon Barkley,RB
21,Leonard Fournette,Melvin Gordon,Latavius Murray,James Conner,Damien Williams,RB
22,Tevin Coleman,Ronald Jones,Peyton Barber,Gus Edwards,Austin Ekeler,RB
23,Sony Michel,Adrian Peterson,Tevin Coleman,Kenyan Drake,Kenyan Drake,RB
24,Kareem Hunt,James White,Raheem Mostert,Tevin Coleman,Ezekiel Elliott,RB
25,Jordan Howard,Latavius Murray,David Johnson,Peyton Barber,Alvin Kamara,RB
26,Tarik Cohen,Tevin Coleman,Damien Williams,Frank Gore,Dalvin Cook,RB
27,Latavius Murray,James Conner,Kareem Hunt,David Johnson,Marlon Mack,RB
28,Carlos Hyde,Damien Williams,Royce Freeman,Latavius Murray,Chris Carson,RB
29,Peyton Barber,Duke Johnson,Leonard Fournette,Austin Ekeler,Joe Mixon,RB
30,Matt Breida,Jamaal Williams,LeSean McCoy,Kerryon Johnson,Kerryon Johnson,RB
31,Duke Johnson,David Johnson,Ronald Jones,Raheem Mostert,Melvin Gordon,RB
32,Jamaal Williams,Peyton Barber,James White,Royce Freeman,Tevin Coleman,RB
33,Damien Williams,Jordan Howard,Austin Ekeler,Kareem Hunt,Todd Gurley,RB
34,Royce Freeman,Royce Freeman,Kerryon Johnson,LeSean McCoy,Kareem Hunt,RB
35,LeSean McCoy,LeSean McCoy,Chase Edmonds,Jamaal Williams,C.J. Anderson,RB
36,Raheem Mostert,Gus Edwards,Brandon Bolden,Rashaad Penny,Malcolm Brown,RB
37,Kerryon Johnson,DeAndre Washington,Boston Scott,Ronald Jones,James Conner,RB
38,Gus Edwards,Tarik Cohen,Ito Smith,Damien Williams,Chase Edmonds,RB
39,Frank Gore,Matt Breida,Malcolm Brown,Dion Lewis,Latavius Murray,RB
