round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
600,0.009905493199413877,0.9927184463125988,0.01148077913482363,0.9895833401630322,sigmoid,RMSprop,mean_squared_error,1,40,50,600,1
600,0.01157025492284447,0.9878640802739893,0.013395206110241512,0.9833333368102709,sigmoid,RMSprop,mean_squared_error,1,20,50,600,1
600,0.009319013226506056,0.9902912696588386,0.010825379363571605,0.9885416726271311,sigmoid,RMSprop,mean_squared_error,1,40,40,600,1
600,0.008273983219394333,0.9902912696588386,0.009777946092071943,0.9916666746139526,sigmoid,RMSprop,mean_squared_error,1,40,40,600,42
600,0.009549002190238064,0.9902912696588386,0.010987064701718433,0.9885416775941849,sigmoid,RMSprop,mean_squared_error,2,40,40,600,42
600,0.009444798019633275,0.9902912696588386,0.010917813842146037,0.9895833432674408,sigmoid,RMSprop,mean_squared_error,2,40,40,600,1337
600,0.010533614346341601,0.9878640817207041,0.012171650746798454,0.9843750074505806,sigmoid,RMSprop,mean_squared_error,2,20,40,600,1
600,0.010390046988478273,0.9878640817207041,0.012011529703158885,0.9843750074505806,sigmoid,RMSprop,mean_squared_error,2,20,40,600,1337
600,0.011243953958415941,0.9878640802739893,0.012961966815055348,0.9833333461234967,sigmoid,RMSprop,mean_squared_error,2,20,50,600,1
600,0.010065833805694055,0.9902912696588386,0.011597074034701413,0.9875000026077032,sigmoid,RMSprop,mean_squared_error,2,40,50,600,42
600,0.00933138940944472,0.9902912696588386,0.010793964863599589,0.9895833432674408,sigmoid,RMSprop,mean_squared_error,1,40,40,600,1337
600,0.010570350478321892,0.9878640817207041,0.012192369579376342,0.9843750099341074,sigmoid,RMSprop,mean_squared_error,1,20,40,600,1
600,0.011117139980377793,0.9878640802739893,0.012819147127932714,0.9833333399146795,sigmoid,RMSprop,mean_squared_error,1,20,50,600,1337
600,0.010446904396674441,0.9878640817207041,0.012041885240857178,0.9843750074505806,sigmoid,RMSprop,mean_squared_error,1,20,40,600,1337
600,0.010483965711686218,0.9878640817207041,0.012098573749729743,0.9843750049670538,sigmoid,RMSprop,mean_squared_error,1,20,40,600,42
600,0.009342376755333497,0.9902912696588386,0.010891238894449392,0.9875000094374021,sigmoid,RMSprop,mean_squared_error,2,40,40,600,1
600,0.010193476800974096,0.9902912696588386,0.011776354299702993,0.9864583400388559,sigmoid,RMSprop,mean_squared_error,1,40,50,600,42
600,0.010903127744649221,0.9878640817207041,0.012532486328079054,0.9843750099341074,sigmoid,RMSprop,mean_squared_error,2,20,40,600,42
600,0.010004946045934684,0.9902912696588386,0.011500840851416191,0.9906249965230624,sigmoid,RMSprop,mean_squared_error,1,40,50,600,1337
600,0.009996891563681398,0.9902912696588386,0.011517927727254573,0.9864583369344473,sigmoid,RMSprop,mean_squared_error,2,40,50,600,1
600,0.011164045561493818,0.9878640802739893,0.012850774861969208,0.9833333399146795,sigmoid,RMSprop,mean_squared_error,2,20,50,600,42
600,0.011415893113629404,0.9878640802739893,0.013164494111454891,0.9833333399146795,sigmoid,RMSprop,mean_squared_error,2,20,50,600,1337
600,0.011496505609632116,0.9878640802739893,0.013333911289616177,0.9822916742414236,sigmoid,RMSprop,mean_squared_error,1,20,50,600,42
600,0.009947386274715543,0.9902912696588386,0.011508494692558694,0.9874999995032946,sigmoid,RMSprop,mean_squared_error,2,40,50,600,1337
