round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
600,0.02390512928945347,0.9951456322253329,0.042983950270960726,0.9802083333333333,sigmoid,RMSprop,binary_crossentropy,1,20,32,600,42
600,0.02452136178329153,0.9951456322253329,0.0435716840904206,0.98125,sigmoid,RMSprop,binary_crossentropy,1,20,32,600,1
600,0.02363395795804783,0.9951456322253329,0.04286914745656153,0.98125,sigmoid,RMSprop,binary_crossentropy,1,20,32,600,1337
600,0.01935950521994563,0.9951456322253329,0.03742768294177949,0.9854166666666667,sigmoid,RMSprop,binary_crossentropy,1,40,32,600,1
600,0.019117136531084485,0.9975728155339806,0.03730476520334681,0.984375,sigmoid,RMSprop,binary_crossentropy,1,40,32,600,1337
600,0.019688793358582896,0.9951456322253329,0.038056627257416646,0.9833333333333333,sigmoid,RMSprop,binary_crossentropy,1,40,32,600,42
