round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
10,0.14613602606995593,0.8276699052273648,0.14307813191165528,0.857291662444671,elu,Adam,mean_squared_error,2,20,10
10,0.0938702765309695,0.9199029062558146,0.0903278689365834,0.9239583301047484,relu,Nadam,mean_squared_error,1,20,10
20,0.046425710414147496,0.9563106732461059,0.04122669975428531,0.970833328862985,relu,Nadam,mean_squared_error,2,20,20
10,0.1044355460885659,0.9004854244514576,0.10188329056836665,0.9062499888241291,relu,Nadam,mean_squared_error,2,30,10
10,0.16527765302114117,0.7766990276794989,0.1612514997832477,0.8145833238959312,elu,Adam,mean_squared_error,1,30,10
20,0.10606050201990072,0.8859223277823439,0.09960270253941417,0.9093749970197678,relu,Adam,mean_squared_error,2,20,20
10,0.15599595719170803,0.8203883474891626,0.1531873717904091,0.8364583291113377,relu,Adam,mean_squared_error,2,30,10
20,0.07562573962998621,0.936893204462181,0.06965672690421343,0.9447916696468989,relu,Nadam,mean_squared_error,2,40,20
20,0.10049753628888176,0.9029126152830217,0.09319867577869445,0.9229166600853205,elu,Adam,mean_squared_error,1,30,20
10,0.15217719885330755,0.8398058304508913,0.14955509391923746,0.8572916636864344,elu,Adam,mean_squared_error,1,40,10
10,0.17651411008487627,0.776699032019643,0.17465115478262305,0.7781249973922968,relu,Adam,mean_squared_error,1,30,10
10,0.13744729091820207,0.8640776664307974,0.13470067859937748,0.8687499985098839,relu,Adam,mean_squared_error,2,20,10
10,0.1452681223310313,0.8276698994405062,0.14153980712095895,0.8468750057121118,relu,Adam,mean_squared_error,1,20,10
20,0.1288229393438228,0.8616504929598096,0.12343595394243796,0.8937499995032946,relu,Adam,mean_squared_error,1,40,20
10,0.07562362272473215,0.9393203779331689,0.06957639932322006,0.9406249957780043,elu,Nadam,mean_squared_error,2,20,10
10,0.14350500370113595,0.8446601863624981,0.14073088043369353,0.8562499936670065,elu,Adam,mean_squared_error,2,30,10
20,0.04056644402625202,0.9514563031566953,0.036171072570141405,0.9697916607062022,elu,Nadam,mean_squared_error,1,20,20
20,0.1121970867937051,0.883495145631068,0.1066923588514328,0.9052083293596903,elu,Adam,mean_squared_error,1,40,20
10,0.09316621382621307,0.9126213438881253,0.09005734464153647,0.9239583238959312,elu,Nadam,mean_squared_error,1,30,10
20,0.07630540242472898,0.939320386613457,0.06955914261440437,0.9458333353201548,relu,Nadam,mean_squared_error,1,40,20
10,0.08835575465583106,0.9296116435412064,0.08401731099002063,0.9374999913076559,relu,Nadam,mean_squared_error,2,20,10
20,0.053271699054799615,0.9466019287271407,0.047584848245605826,0.960416654124856,relu,Nadam,mean_squared_error,2,30,20
10,0.13057597165981544,0.8592232966307297,0.12929852725937963,0.8739583231508732,relu,Nadam,mean_squared_error,1,30,10
10,0.19197093225219874,0.7233009720311582,0.18786365476747355,0.728124996026357,relu,Adam,mean_squared_error,1,40,10
20,0.045358685143653626,0.9514563017099806,0.04087159322807565,0.963541654869914,elu,Nadam,mean_squared_error,2,30,20
20,0.11037277654536719,0.883495136372094,0.10496723325923085,0.9072916600853205,relu,Adam,mean_squared_error,1,30,20
10,0.1362338605002292,0.8567961141901109,0.13435876726483306,0.8614583338300387,elu,Adam,mean_squared_error,1,20,10
20,0.13182232232348431,0.8616504871729508,0.12543647767355046,0.8843750009934107,relu,Adam,mean_squared_error,2,40,20
20,0.036714028521865893,0.9538834882014006,0.03230566075459743,0.9718749957780043,elu,Nadam,mean_squared_error,2,20,20
20,0.1283615538217489,0.8762135916543239,0.1241571307182312,0.890625,elu,Adam,mean_squared_error,2,40,20
10,0.15811613592707996,0.8033980576737413,0.15451050798098245,0.8343749965230624,relu,Adam,mean_squared_error,2,40,10
20,0.05596276874500282,0.9490291152185607,0.050123938359320164,0.956249987706542,relu,Nadam,mean_squared_error,1,30,20
20,0.04477888336676417,0.9611650433355164,0.03978373444018265,0.9677083293596903,relu,Nadam,mean_squared_error,1,20,20
10,0.09093654255192836,0.9271844584965011,0.08763012650888413,0.924999987706542,elu,Nadam,mean_squared_error,2,30,10
10,0.12391452013867572,0.8737864095030479,0.12288658538212378,0.8885416661699613,elu,Nadam,mean_squared_error,1,40,10
20,0.0817068952307539,0.9271844613899305,0.07509477684895198,0.9385416594644388,elu,Adam,mean_squared_error,1,20,20
10,0.12835976568240565,0.8665048572623614,0.12664553864548603,0.8718750029802322,relu,Nadam,mean_squared_error,2,40,10
20,0.0908694283910168,0.9223300913005199,0.08450862819639345,0.932291659216086,relu,Adam,mean_squared_error,1,20,20
20,0.07208702293703857,0.939320386613457,0.06409307817618053,0.9458333353201548,elu,Nadam,mean_squared_error,1,40,20
20,0.10906548487040603,0.8883495105123057,0.1021045595407486,0.9145833216607571,relu,Adam,mean_squared_error,2,30,20
20,0.10461267326207994,0.8907766871660658,0.09873547463212162,0.9104166571050882,elu,Adam,mean_squared_error,2,30,20
10,0.09566990278878258,0.9101941689704228,0.09088312981960674,0.9208333256344,elu,Nadam,mean_squared_error,1,20,10
10,0.1414183087429954,0.832524272423346,0.1395766135926048,0.8593749925494194,relu,Nadam,mean_squared_error,1,40,10
20,0.04919279532199635,0.9514563017099806,0.042850271915085614,0.9572916552424431,elu,Nadam,mean_squared_error,1,30,20
20,0.06423928943073866,0.9417475745515916,0.056830509565770626,0.9500000054637591,elu,Nadam,mean_squared_error,2,40,20
20,0.08189675486782222,0.9296116406477771,0.07378075900487602,0.940624992052714,elu,Adam,mean_squared_error,2,20,20
10,0.11827265724395085,0.8762135916543239,0.11551759702463944,0.8906250024835268,elu,Nadam,mean_squared_error,2,40,10
10,0.1606629657224544,0.7961165112199136,0.1587617595990499,0.8208333353201548,elu,Adam,mean_squared_error,2,40,10
