round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.04064943224589512,0.9733009529345243,0.04731614323100075,0.9572916533797979,elu,Nadam,mean_squared_error,2,30,20
20,0.10338634462321847,0.9199028990222412,0.11381129175424576,0.8916666563600302,relu,Adam,mean_squared_error,2,30,20
20,0.030941340385131466,0.9805825196423577,0.03612539884246265,0.9656249930461248,elu,Nadam,mean_squared_error,2,20,20
10,0.1108669399925806,0.9199028990222412,0.12399687943980098,0.8906249925494194,relu,Nadam,mean_squared_error,1,30,10
20,0.07562618087796331,0.9587378571334394,0.08474039565771818,0.932291661699613,relu,Adam,mean_squared_error,2,20,20
10,0.12339754301367455,0.9101941776507109,0.13664643776913485,0.8604166656732559,elu,Nadam,mean_squared_error,2,40,10
20,0.23312621122425042,0.6237864077669902,0.23217383213341236,0.632291667163372,relu,sgd,mean_squared_error,2,20,20
10,0.2382295739303515,0.5436893209670354,0.237426046282053,0.5604166705161333,softmax,Adam,mean_squared_error,2,20,10
10,0.12795565993461794,0.8810679623224202,0.14040655766924223,0.847916666418314,elu,Adam,mean_squared_error,2,20,10
10,0.06663756011035836,0.9611650421781447,0.07807381544262171,0.934374988079071,elu,Nadam,mean_squared_error,2,20,10
10,0.2332966610499956,0.5436893209670354,0.23194464948028326,0.5604166761040688,elu,sgd,mean_squared_error,2,30,10
10,0.2455974163360966,0.5436893267538941,0.24319007247686386,0.5604166674117247,relu,sgd,mean_squared_error,1,40,10
20,0.23160087230425436,0.5533980614351994,0.23137956066057086,0.5614583427086473,softmax,Adam,mean_squared_error,2,30,20
20,0.05706746666466148,0.9635922168065043,0.06548149359878153,0.9447916578501463,relu,Nadam,mean_squared_error,1,30,20
10,0.2355589238764013,0.5436893209670354,0.23303175003578266,0.560416671137015,relu,sgd,mean_squared_error,1,20,10
20,0.02808330273165286,0.9733009674016712,0.033158241402513035,0.9645833286146323,elu,Nadam,mean_squared_error,1,20,20
20,0.22735017031720542,0.6189320434644384,0.22714596474543214,0.6229166705161333,elu,sgd,mean_squared_error,2,30,20
10,0.1276802808335684,0.8956310696972226,0.14083122679342827,0.854166661699613,elu,Nadam,mean_squared_error,1,40,10
10,0.1869892657381817,0.7475728022242055,0.19406355048219362,0.7281249985098839,relu,Adam,mean_squared_error,1,40,10
10,0.22830501820855928,0.6747572740304817,0.22862672557433447,0.6687499980131785,elu,sgd,mean_squared_error,1,40,10
20,0.24800159377091138,0.5436893209670354,0.24703604588285089,0.5666666748002172,softmax,sgd,mean_squared_error,1,30,20
20,0.14976654425986763,0.8470873745899756,0.16025913693010807,0.8083333373069763,elu,Adam,mean_squared_error,2,40,20
10,0.1370765803002038,0.868932027261234,0.14835323649458587,0.8437499944120646,elu,Adam,mean_squared_error,2,30,10
10,0.24366423820407646,0.5436893209670354,0.24240881064906716,0.5604166761040688,softmax,Adam,mean_squared_error,1,30,10
10,0.24443594388012746,0.5436893267538941,0.24311107893784842,0.560416671137015,softmax,Adam,mean_squared_error,2,40,10
10,0.24262332540113948,0.7766990268114701,0.24142828459541002,0.7072916676600774,softmax,Adam,mean_squared_error,1,40,10
10,0.12265841597781597,0.9004854256088294,0.13595858681946993,0.8593749888241291,relu,Nadam,mean_squared_error,2,30,10
10,0.20869514838005732,0.6747572792386546,0.2143174521625042,0.6812500022351742,softmax,Nadam,mean_squared_error,1,20,10
20,0.034242018496671925,0.9757281524463765,0.04005111360068744,0.963541659216086,relu,Nadam,mean_squared_error,1,20,20
20,0.13764782655007632,0.8762135922330098,0.1460902246957024,0.8437500024835268,softmax,Nadam,mean_squared_error,2,20,20
20,0.07963115815977448,0.9538834870440288,0.0895731298563381,0.9291666559875011,elu,Adam,mean_squared_error,2,20,20
10,0.07927090255091492,0.9563106720887341,0.09124502454263468,0.928124992797772,relu,Nadam,mean_squared_error,1,20,10
10,0.15539460687093365,0.8398058223492891,0.1660686043712,0.8093750029802322,relu,Adam,mean_squared_error,1,20,10
20,0.20634847864942643,0.6820388401596291,0.20866136066615582,0.6718749981373549,elu,sgd,mean_squared_error,1,20,20
20,0.23845720840889273,0.5436893267538941,0.2375793376316627,0.560416671137015,softmax,Adam,mean_squared_error,1,40,20
20,0.2478580869806623,0.5436893267538941,0.24680312164127827,0.5604166698952516,softmax,sgd,mean_squared_error,1,40,20
10,0.24922086262297863,0.5436893209670354,0.24897384038195014,0.5604166770353913,softmax,sgd,mean_squared_error,1,30,10
10,0.23753353128734145,0.5436893267538941,0.2375121172517538,0.5604166698952516,softmax,Nadam,mean_squared_error,2,40,10
10,0.06603834080030617,0.9563106691953048,0.07802399286689858,0.9322916604578495,elu,Nadam,mean_squared_error,1,20,10
10,0.16403881757004748,0.8300970824598108,0.17307295836508274,0.8114583324640989,relu,Adam,mean_squared_error,1,30,10
20,0.07647891827289341,0.9611650566452915,0.08484406272570293,0.9364583318432173,relu,Nadam,mean_squared_error,1,40,20
20,0.1317949858539313,0.895631063910364,0.14010611828416586,0.8645833358168602,softmax,Nadam,mean_squared_error,1,20,20
20,0.0912206695026275,0.9393203779331689,0.10245354834478348,0.9072916526347399,elu,Adam,mean_squared_error,2,30,20
10,0.0852768667114591,0.9441747465758648,0.09700951736886054,0.9166666604578495,elu,Nadam,mean_squared_error,2,30,10
20,0.12639787312126854,0.8956310569661335,0.1363869309425354,0.8666666615754366,relu,Adam,mean_squared_error,1,30,20
20,0.04556234790355835,0.9757281394259444,0.05185907206032425,0.9562499895691872,relu,Nadam,mean_squared_error,2,30,20
10,0.22694777125872453,0.5582524322479674,0.22849942604079843,0.5635416721925139,softmax,Nadam,mean_squared_error,2,30,10
10,0.2254584952465539,0.6262135957051249,0.22638852459688982,0.6125000013659397,relu,sgd,mean_squared_error,2,20,10
10,0.24886813506628702,0.5436893209670354,0.24836595263332129,0.5604166788980365,softmax,sgd,mean_squared_error,2,30,10
