round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
600,0.6879421096403622,0.5509708826113673,0.6865848638117313,0.5572916818782687,relu,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.12665059025064834,0.963592231562994,0.10904973500873893,0.9666666705161333,sigmoid,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.07913831884529694,0.9684466103326927,0.05971945282847931,0.9791666759798924,softmax,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.05746097339190615,0.9805825167489284,0.041862725804094225,0.9802083279937506,softmax,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.0374285145391466,0.9830097032403483,0.029511223219742533,0.9885416589677334,sigmoid,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.04328505887234023,0.9805825283226458,0.033471369388280436,0.9864583400388559,sigmoid,RMSprop,binary_crossentropy,2,40,50,600,1337
600,0.026771098582437987,0.9927184463125988,0.02409008802593841,0.9906250058362881,relu,RMSprop,binary_crossentropy,1,40,50,600,1337
600,0.08479164394287808,0.9684465897893443,0.06577775906771421,0.9781249947845936,sigmoid,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.08365478021210258,0.9684465897893443,0.06370402156608179,0.9791666623204947,sigmoid,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.036939668866977526,0.9830097032403483,0.02929580465570325,0.9885416589677334,sigmoid,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.029218985167901636,0.9878640675429001,0.01291399754336453,0.997916666790843,softmax,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.6879420998027024,0.550970868578235,0.6865771350761255,0.5572916772216558,relu,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.029280378682159103,0.9878640675429001,0.012670204741880298,0.997916666790843,softmax,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.02281758447801604,0.9927184448658841,0.021905440007685684,0.9927083272486925,relu,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.022321276713696138,0.9927184448658841,0.019362828691555478,0.9947916623204947,relu,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.04160479321913088,0.9878640820100469,0.02406192826068339,0.9979166686534882,softmax,RMSprop,binary_crossentropy,1,40,50,600,1337
600,0.687942097198616,0.550970868578235,0.68657765040795,0.557291676911215,relu,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.05706999713591146,0.9805825167489284,0.0414961137867067,0.9802083279937506,softmax,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.07549906010260281,0.9684466103326927,0.05633209994994104,0.9791666772216558,softmax,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.12340857153667988,0.9611650494117181,0.10626109724398702,0.9687500018626451,sigmoid,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.043704277356562106,0.9805825283226458,0.03356680103267232,0.9864583338300387,sigmoid,RMSprop,binary_crossentropy,1,40,50,600,1337
600,0.04317160262681038,0.9878640820100469,0.02491236802112932,0.9979166686534882,softmax,RMSprop,binary_crossentropy,2,40,50,600,1337
600,0.6879421029854746,0.5509708826113673,0.6865840684622526,0.5572916809469461,relu,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.02637767807599745,0.9927184463125988,0.02387239521097702,0.9916666684051355,relu,RMSprop,binary_crossentropy,2,40,50,600,1337
