round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.004008652602141986,0.9947643948742589,0.0040717678768342315,0.9935876858773313,relu,Adam,logcosh,2,30,20
20,0.00317138489053281,0.9955123453418444,0.0027620407731641645,0.996473230433487,elu,Nadam,logcosh,1,40,20
10,0.005177316033833771,0.993268509988207,0.006008414869023825,0.9868547580073223,relu,Adam,logcosh,0,20,10
20,0.004687232080972931,0.994764401115583,0.005002958092864802,0.9903815383710858,relu,Adam,logcosh,0,40,20
20,0.004993245901426554,0.9940164586725571,0.005361962131409404,0.9887784584549307,elu,Adam,logcosh,0,40,20
10,0.00648332954870771,0.9910246773094229,0.0076155468197682775,0.982686748715615,relu,Adam,logcosh,2,30,10
20,0.0029697439833722473,0.9955123373172848,0.0023613676861056494,0.9967938416009532,elu,Nadam,logcosh,0,30,20
20,0.002360858752432443,0.9962602833267816,0.0015862718842578915,0.9980763060498521,elu,Nadam,logcosh,2,20,20
20,0.0033334714831475174,0.995512343558609,0.002837045519507773,0.9961526166861467,elu,Nadam,logcosh,0,40,20
20,0.002935636983920121,0.9947643948742589,0.0022708176074992003,0.9971144579281674,relu,Nadam,logcosh,1,30,20
10,0.004171489571870643,0.9947643948742589,0.004442395661267356,0.9923052219061869,relu,Nadam,logcosh,1,30,10
10,0.007144880802011871,0.9910246773094229,0.008136336808428813,0.9817249040337624,elu,Adam,logcosh,2,30,10
20,0.00318810209673192,0.995512343558609,0.002798872306655093,0.9964732319623012,relu,Nadam,logcosh,0,40,20
20,0.002452159375860426,0.9955123399921381,0.0015264747045659335,0.99839692170821,elu,Nadam,logcosh,1,20,20
10,0.0043698929964078705,0.9947643948742589,0.004627713321426865,0.9926258366090359,elu,Nadam,logcosh,1,30,10
10,0.009419604977620689,0.9880329137786431,0.010727959386132474,0.9801218388324443,elu,Adam,logcosh,2,40,10
10,0.0048256364906842,0.9940164533228507,0.005545865629187392,0.9878166053645998,elu,Adam,logcosh,2,20,10
10,0.007577607251784542,0.9895287897485178,0.008752472249897924,0.981404288757608,elu,Adam,logcosh,1,30,10
20,0.003240407543428759,0.9955123453418444,0.002877055446901868,0.9958320006455852,elu,Nadam,logcosh,2,40,20
20,0.0032131638820101964,0.9955123399921381,0.0028270771541742744,0.9964732277580621,elu,Adam,logcosh,1,20,20
10,0.0034390472709488504,0.9955123399921381,0.003424090698963386,0.9948701494662722,relu,Nadam,logcosh,1,20,10
10,0.005213467890434852,0.993268509988207,0.005874465734494235,0.9884578362991122,relu,Adam,logcosh,2,20,10
20,0.0032247744051303816,0.9955123399921381,0.0030140243992886127,0.9955113807829881,elu,Adam,logcosh,0,20,20
20,0.004793439101460533,0.9940164586725571,0.005037676607419561,0.9903815409509599,elu,Adam,logcosh,2,40,20
10,0.004083807076472129,0.9947643948742589,0.004399040216024569,0.9926258354624252,elu,Nadam,logcosh,2,30,10
20,0.002918983455970107,0.9947643948742589,0.0022944785104446045,0.9967938415054023,relu,Nadam,logcosh,2,30,20
10,0.005381294498884446,0.993268516229531,0.00618778106942534,0.9874959981147201,elu,Nadam,logcosh,1,40,10
20,0.003321121382925729,0.9955123399921381,0.0031422722182404125,0.9958319966515581,relu,Adam,logcosh,0,20,20
10,0.006625313169583079,0.9910246759719963,0.0076673872486779865,0.9833279810833908,elu,Adam,logcosh,0,30,10
10,0.004268996621924052,0.9947643948742589,0.004664043276443088,0.991022759177204,elu,Nadam,logcosh,0,30,10
10,0.005497456957402736,0.9925205666535634,0.006210726081182701,0.9871753736656803,elu,Adam,logcosh,0,20,10
20,0.0028309036159250697,0.9962602810977373,0.0023284683405170917,0.9971144579281674,elu,Nadam,logcosh,2,30,20
20,0.0032889991051110973,0.9955123453418444,0.002824568422380584,0.9961526166861467,relu,Nadam,logcosh,1,40,20
10,0.006683593464558338,0.9902767335289704,0.007617660942205245,0.9842898285362193,relu,Adam,logcosh,0,30,10
20,0.0033559104471359183,0.9955123399921381,0.002943530755400913,0.9961526120997041,relu,Adam,logcosh,1,20,20
10,0.008791831826422679,0.9880329137786431,0.010178576747887733,0.9788393780144792,relu,Adam,logcosh,0,40,10
20,0.0031817840408736764,0.9947643966574944,0.0029283021118566874,0.9955113807829881,relu,Adam,logcosh,2,20,20
20,0.0026969057235643966,0.9955123399921381,0.001715060946314524,0.998717537366568,relu,Nadam,logcosh,2,20,20
10,0.004874784295331713,0.993268516229531,0.0053260456152936925,0.9890990752598994,elu,Nadam,logcosh,0,40,10
10,0.004062806794634256,0.9955123386547114,0.004344511094496237,0.9929464530318011,relu,Nadam,logcosh,0,30,10
20,0.004713496095246636,0.9940164586725571,0.005061178182933447,0.9900609218527698,elu,Adam,logcosh,1,40,20
20,0.0038458415089838074,0.9955123386547114,0.003890776044312738,0.9935876835841099,relu,Adam,logcosh,1,30,20
20,0.0031870603549918742,0.9955123399921381,0.002928933216711892,0.9958319966515581,elu,Adam,logcosh,2,20,20
20,0.0024649461661406065,0.9955123399921381,0.0015969334748886631,0.99839692170821,elu,Nadam,logcosh,0,20,20
20,0.0024736139868761294,0.9955123399921381,0.0017195604928984937,0.99839692170821,relu,Nadam,logcosh,1,20,20
10,0.005105086382043638,0.9925205666535634,0.005817222622353535,0.9871753736656803,elu,Adam,logcosh,1,20,10
10,0.004651990214143493,0.9925205720032697,0.005156033230693452,0.9903815394221456,relu,Nadam,logcosh,2,40,10
