round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
600,0.03145702517347284,0.9951456284638748,0.029121331938464817,0.9979166686534882,softmax,RMSprop,binary_crossentropy,1,40,50,600,1337
600,0.06836323217642538,0.9733009728991869,0.06461948006957148,0.9770833427707354,softmax,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.024640493667955756,0.9854368897317682,0.020196067627693992,0.9947916623204947,relu,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.03274061416899695,0.9830097032403483,0.029881294489314314,0.9885416571050882,sigmoid,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.12024673834009078,0.9733009728991869,0.12371825345326215,0.9656249986340603,sigmoid,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.07507199452267689,0.9733009671123283,0.07179127348354086,0.9760416559875011,sigmoid,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.04891505447731724,0.9781553345976524,0.04529616917716339,0.9812499936670065,softmax,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.6814205041788157,0.5898058206132315,0.68984883526961,0.5406250093753139,relu,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.07393434559655132,0.9733009671123283,0.07082177419215441,0.9760416559875011,sigmoid,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.024700250492422183,0.9902912641613228,0.021884681841280933,0.9947916685293118,relu,RMSprop,binary_crossentropy,2,40,50,600,1337
600,0.6814077100128804,0.5898058206132315,0.6898528623084227,0.5406250099961957,relu,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.01812595095218711,0.9975728135085801,0.015870865354372654,0.997916666790843,softmax,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.01836039237135533,0.995145631357304,0.01556591474218294,0.997916666790843,softmax,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.03055261747766901,0.9927184445765412,0.028085475593494873,0.9968750029802322,softmax,RMSprop,binary_crossentropy,2,40,50,600,1337
600,0.03626287297698334,0.9830097104739217,0.03438433658448048,0.9854166743656,sigmoid,RMSprop,binary_crossentropy,1,40,50,600,1337
600,0.6816459665599378,0.5898058371057788,0.6898567546159029,0.5406250152736902,relu,RMSprop,binary_crossentropy,1,2,30,600,1337
600,0.02472613503460239,0.9902912583744642,0.020296997692639707,0.9947916641831398,relu,RMSprop,binary_crossentropy,2,40,30,600,1337
600,0.6816124094342723,0.5898058371057788,0.6898628436028957,0.5406250152736902,relu,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.04849048695319052,0.9781553345976524,0.044802812262787484,0.9812499955296516,softmax,RMSprop,binary_crossentropy,2,2,30,600,1337
600,0.0686833905598637,0.9733009728991869,0.06564237404381856,0.976041673993071,softmax,RMSprop,binary_crossentropy,2,2,50,600,1337
600,0.15480495425103938,0.9684466085966351,0.1642107943383356,0.953125,sigmoid,RMSprop,binary_crossentropy,1,2,50,600,1337
600,0.0331704894926182,0.9830097032403483,0.029707657216931693,0.9874999914318323,sigmoid,RMSprop,binary_crossentropy,1,40,30,600,1337
600,0.03704576096181007,0.9830097104739217,0.03491917842378219,0.9854166712611914,sigmoid,RMSprop,binary_crossentropy,2,40,50,600,1337
600,0.025464887276418435,0.9902912641613228,0.022253829030281242,0.9947916716337204,relu,RMSprop,binary_crossentropy,1,40,50,600,1337
