round_epochs,val_loss,loss,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.00256702662044377,0.001372281923410431,elu,Nadam,logcosh,2,20,20
20,0.003947308810109798,0.002675784916747463,elu,Nadam,logcosh,0,40,20
20,0.005094502541452431,0.003960644298346335,elu,Adam,logcosh,1,30,20
20,0.0046114862824928795,0.0034865591721633497,relu,Adam,logcosh,0,30,20
20,0.002681903514683337,0.0014357407331237293,relu,Nadam,logcosh,0,20,20
10,0.007447105527732858,0.0068169712420742875,relu,Adam,logcosh,1,30,10
20,0.0038742665873023104,0.0026781151147868905,elu,Adam,logcosh,2,20,20
