round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
20,0.204632297230577,0.7233009674016712,0.20440526120364666,0.7656249987582365,sigmoid,Adam,mean_squared_error,2,40,50,20,1337
600,0.19450238578527876,0.7936893148908337,0.1918663588973383,0.8281249975164732,sigmoid,sgd,mean_squared_error,1,40,50,600,1
20,0.24527409065116956,0.5558252444545042,0.24540333822369576,0.5552083365619183,sigmoid,sgd,mean_squared_error,1,40,40,20,1337
600,0.01458873032610321,0.985436899858771,0.01269630992464954,0.9833333368102709,sigmoid,Adam,mean_squared_error,1,20,50,600,1
20,0.23257801877063455,0.5800970891146984,0.23260963708162308,0.5729166703919569,sigmoid,Adam,mean_squared_error,1,3,40,20,42
600,0.04496451898577433,0.9514563011312948,0.03561672968013833,0.9645833329608043,sigmoid,Adam,mean_squared_error,1,3,50,600,42
20,0.23886657672599682,0.5558252401143602,0.23899000914146504,0.5552083396663269,sigmoid,Adam,mean_squared_error,2,3,50,20,42
20,0.24649392893013444,0.628640777277715,0.2466389232625564,0.6656249997516474,sigmoid,sgd,mean_squared_error,2,3,40,20,1337
600,0.19597112611659523,0.7888349491415672,0.1933479526390632,0.819791667163372,sigmoid,sgd,mean_squared_error,2,20,40,600,1
20,0.24536535910611013,0.5558252401143602,0.2454695012420416,0.5552083412185311,sigmoid,sgd,mean_squared_error,1,20,50,20,1
100,0.07084226818049996,0.9344660188387899,0.061804769560694695,0.9500000054637591,sigmoid,Adam,mean_squared_error,2,40,40,100,42
600,0.2213267323750894,0.9004854360251751,0.2202160401890675,0.8583333374311527,sigmoid,sgd,mean_squared_error,2,3,50,600,1
20,0.24584242101143866,0.5558252401143602,0.2459081911171476,0.5552083396663269,sigmoid,sgd,mean_squared_error,1,20,50,20,42
20,0.24764911244505816,0.5558252401143602,0.24786233762279153,0.5552083381141225,sigmoid,Adam,mean_squared_error,1,3,50,20,42
600,0.02297506645068671,0.9733009714524723,0.018867685867007822,0.9781250109275182,sigmoid,Adam,mean_squared_error,1,3,40,600,1
100,0.22143279833411708,0.8907766857193512,0.2210001110409697,0.8979166690260172,sigmoid,Adam,mean_squared_error,1,3,50,100,1337
600,0.22058685876212072,0.6504854397866332,0.21921377799784145,0.6395833324640989,sigmoid,sgd,mean_squared_error,2,3,50,600,1337
600,0.18218707097965536,0.7936893308046952,0.17861481569707394,0.8354166721304258,sigmoid,sgd,mean_squared_error,2,20,40,600,1337
20,0.22771017144895295,0.6116504946958672,0.22779820347204804,0.6020833288008968,sigmoid,Adam,mean_squared_error,2,20,50,20,1
100,0.07866590842604637,0.9247572830001127,0.06918805500026792,0.9437500027318796,sigmoid,Adam,mean_squared_error,1,40,50,100,42
100,0.21337814889486553,0.8543689308814633,0.21246108350654444,0.8781250019868215,sigmoid,Adam,mean_squared_error,2,3,40,100,42
100,0.07817696179579763,0.9247572830001127,0.06844530394300818,0.9437500008692344,sigmoid,Adam,mean_squared_error,2,40,50,100,1
