round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.12273356853758247,0.9053398040891851,0.1259640141700705,0.8916666756073633,relu,Adam,mean_squared_error,1,40,20
10,0.23278933749036881,0.5412621388157595,0.23064230879147848,0.5708333378036817,relu,sgd,mean_squared_error,1,20,10
10,0.16924674722176153,0.8203883535653642,0.17333404906094074,0.8031250014901161,relu,Adam,mean_squared_error,2,40,10
10,0.11541738050076568,0.8907766938209534,0.11964399709055822,0.8875000004967054,elu,Nadam,mean_squared_error,1,40,10
20,0.11419913859911335,0.8932038788656587,0.11638260446488857,0.8864583323399226,sigmoid,Nadam,mean_squared_error,2,20,20
20,0.22323678824508075,0.6067961191089408,0.2201866383353869,0.6385416655490795,relu,sgd,mean_squared_error,2,20,20
20,0.23282536849813554,0.5364077701730635,0.228709754999727,0.5635416796430945,elu,sgd,mean_squared_error,1,30,20
20,0.146638766328976,0.8543689256732904,0.151751916622743,0.8374999985098839,sigmoid,Nadam,mean_squared_error,1,30,20
20,0.10807467765599779,0.9029126132576211,0.11039055790752172,0.9041666649281979,sigmoid,Nadam,mean_squared_error,1,20,20
20,0.2271251746462387,0.5364077701730635,0.22628803784027696,0.5635416796430945,elu,sgd,mean_squared_error,2,30,20
20,0.1723915258946928,0.827669900019192,0.17703416695197424,0.8093749955296516,sigmoid,Nadam,mean_squared_error,2,40,20
10,0.2277392995299645,0.6213592344406739,0.22884977469220757,0.6406250055879354,sigmoid,Adam,mean_squared_error,2,30,10
10,0.2484684705155567,0.5266990350577437,0.24445500737056136,0.5583333410322666,elu,sgd,mean_squared_error,2,30,10
10,0.20035181787696857,0.7330097075804923,0.20342592615634203,0.7374999970197678,sigmoid,Nadam,mean_squared_error,2,30,10
10,0.23866864735061682,0.6334951548900419,0.23819284280762076,0.6072916723787785,relu,sgd,mean_squared_error,2,30,10
20,0.13129237106124175,0.876213586446151,0.13413789744178453,0.8697916641831398,softmax,Nadam,mean_squared_error,1,20,20
20,0.07738450104461132,0.9296116487493793,0.07548570244883497,0.9427083358168602,relu,Nadam,mean_squared_error,2,40,20
10,0.21587748420469968,0.6480582475083546,0.21645121866216263,0.6437499995032946,sigmoid,Adam,mean_squared_error,2,20,10
10,0.22658336639982982,0.5946601938854144,0.2263578474521637,0.6124999970197678,sigmoid,Adam,mean_squared_error,1,40,10
20,0.22713285720753437,0.6189320402816662,0.22533047711476684,0.6052083382382989,softmax,Adam,mean_squared_error,1,30,20
20,0.06195580257663449,0.9368931957818929,0.05788585857953876,0.954166654497385,relu,Nadam,mean_squared_error,2,30,20
20,0.20596371952769826,0.7257281495529471,0.2069404193510612,0.7197916681567827,sigmoid,Adam,mean_squared_error,1,40,20
20,0.22361936629975884,0.7184466065712345,0.22225153942902884,0.6833333310981592,relu,sgd,mean_squared_error,1,20,20
20,0.1124750611923852,0.8980582477976975,0.11394118308089674,0.8833333272486925,relu,Adam,mean_squared_error,1,30,20
10,0.24855199137937675,0.587378641066042,0.24741013317058483,0.5781250012417635,softmax,sgd,mean_squared_error,1,20,10
10,0.1413100774137719,0.8689320402816662,0.14678745320998132,0.8427083268761635,elu,Adam,mean_squared_error,2,30,10
20,0.23709271775866017,0.5606795945792522,0.22979631212850413,0.5895833373069763,elu,sgd,mean_squared_error,1,40,20
10,0.24671803559493094,0.5364077701730635,0.2407629583030939,0.563541678711772,relu,sgd,mean_squared_error,1,30,10
20,0.24320448833761862,0.5364077701730635,0.24036069121211767,0.5635416712611914,sigmoid,sgd,mean_squared_error,2,20,20
20,0.17789956493285095,0.8228155328232107,0.18104812999566397,0.8125,sigmoid,Adam,mean_squared_error,1,20,20
20,0.1944542257386504,0.7766990242073837,0.19699254725128412,0.777083333581686,sigmoid,Adam,mean_squared_error,1,30,20
20,0.15243761758636504,0.8495145657108826,0.15620989352464676,0.8354166559875011,sigmoid,Nadam,mean_squared_error,2,30,20
10,0.22750050393701757,0.5582524326819818,0.22347559221088886,0.5781250003104409,elu,sgd,mean_squared_error,1,20,10
20,0.2488944740260689,0.5364077701730635,0.24652627762407064,0.5635416725029548,softmax,sgd,mean_squared_error,2,20,20
20,0.0394858133626505,0.9587378571334394,0.03485736297443509,0.9718749932944775,relu,Nadam,mean_squared_error,2,20,20
10,0.11726128982687459,0.8980582460616399,0.12232461043943961,0.8822916659216086,elu,Adam,mean_squared_error,2,20,10
10,0.24885742496518257,0.5364077701730635,0.24640213853369156,0.5635416706403097,sigmoid,sgd,mean_squared_error,2,20,10
20,0.11500547218669965,0.895631063910364,0.11722743604332209,0.8843749985098839,elu,Adam,mean_squared_error,1,40,20
20,0.2287221047484759,0.6601941741785957,0.22771788078049818,0.6593750007450581,relu,sgd,mean_squared_error,1,40,20
20,0.07987972927614323,0.9296116458559499,0.07922993367537856,0.9468749910593033,relu,Adam,mean_squared_error,2,20,20
10,0.09795178471187364,0.9150485315369171,0.10234185075387359,0.9114583246409893,elu,Nadam,mean_squared_error,1,30,10
10,0.25071550457222946,0.5364077614927755,0.24797439264754453,0.5635416706403097,sigmoid,sgd,mean_squared_error,1,40,10
20,0.047213107600663475,0.9441747538094382,0.04352046134105573,0.9677083256344,relu,Nadam,mean_squared_error,1,20,20
20,0.0766510990204163,0.9368932125637832,0.07686577690765262,0.9500000054637591,relu,Nadam,mean_squared_error,1,40,20
20,0.24542366503511817,0.6213592250370285,0.24155906649927297,0.6156250014901161,sigmoid,sgd,mean_squared_error,1,40,20
20,0.12420002045561966,0.8859223295184016,0.12769982808580002,0.8760416656732559,elu,Adam,mean_squared_error,2,40,20
20,0.05296537435604531,0.939320386613457,0.04891762168457111,0.9604166696468989,elu,Nadam,mean_squared_error,1,40,20
10,0.20810715810766497,0.7402912598211788,0.2100608597199122,0.7270833353201548,sigmoid,Nadam,mean_squared_error,1,40,10
20,0.2477628841128164,0.5364077701730635,0.2456460939720273,0.5635416768491268,sigmoid,sgd,mean_squared_error,1,30,20
20,0.05152218478722769,0.9417475644245888,0.04812269390095025,0.967708321288228,relu,Nadam,mean_squared_error,1,30,20
10,0.2414850773452555,0.5364077701730635,0.23933179304003716,0.5635416712611914,softmax,Adam,mean_squared_error,1,20,10
20,0.1816473491851566,0.7888349436440514,0.18504238640889525,0.7958333306014538,softmax,Nadam,mean_squared_error,2,30,20
10,0.24966467931432632,0.5364077701730635,0.2481666166956226,0.5635416687776645,softmax,sgd,mean_squared_error,2,20,10
20,0.03834579532369248,0.9514563048927529,0.033236554416362196,0.9718749945362409,elu,Nadam,mean_squared_error,2,20,20
10,0.2447091592747031,0.5364077614927755,0.2421185883382956,0.5635416693985462,softmax,Adam,mean_squared_error,2,40,10
20,0.2362354773196202,0.5364077701730635,0.23271594429388642,0.5635416777804494,relu,sgd,mean_squared_error,2,30,20
20,0.1991008938226885,0.7257281495529471,0.20177302695810795,0.7020833392937978,softmax,Nadam,mean_squared_error,1,40,20
20,0.08026065087868171,0.9223300965086928,0.0796204157328854,0.9416666626930237,elu,Adam,mean_squared_error,1,20,20
20,0.11374239453557626,0.9053397942515253,0.11621420620940626,0.8989583235234022,relu,Adam,mean_squared_error,2,30,20
20,0.2335365074641496,0.6893203941363732,0.2302898084744811,0.6104166721925139,relu,sgd,mean_squared_error,1,30,20
10,0.10154900763147665,0.9126213493856411,0.10643179644830525,0.9083333164453506,elu,Nadam,mean_squared_error,2,30,10
10,0.22111745699516777,0.6310679576929333,0.22105850838124752,0.6447916639347872,sigmoid,Adam,mean_squared_error,2,40,10
20,0.24484970890781255,0.5533980611458565,0.2417962715650598,0.5750000017384688,sigmoid,sgd,mean_squared_error,1,20,20
10,0.23965039039121092,0.5364077614927755,0.23588765350480875,0.5635416681567827,elu,sgd,mean_squared_error,1,40,10
10,0.23229078239607578,0.5436893274772514,0.23119215155020356,0.5666666748002172,softmax,Nadam,mean_squared_error,1,30,10
10,0.0720000505375052,0.9223300965086928,0.07177571781600516,0.9416666602094969,elu,Nadam,mean_squared_error,1,20,10
10,0.15980706660492908,0.8422330105767667,0.16490897862240672,0.8229166641831398,relu,Adam,mean_squared_error,2,30,10
10,0.24914569241329304,0.6237864112391055,0.24897314421832561,0.6093749950329462,softmax,sgd,mean_squared_error,1,40,10
10,0.12113754227034097,0.8932038788656587,0.12604101824884614,0.8781249982615312,elu,Adam,mean_squared_error,1,20,10
20,0.24784586043323129,0.5364077701730635,0.24587504006922245,0.564583339728415,softmax,sgd,mean_squared_error,1,30,20
10,0.24923910504405938,0.5485436838228726,0.24980385042726994,0.5739583298563957,elu,sgd,mean_squared_error,2,40,10
10,0.24374695541789232,0.5364077701730635,0.24106595572084188,0.563541678711772,softmax,Adam,mean_squared_error,2,30,10
