round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
10,0.00476516378835706,0.988780849980345,0.0032031706254774407,0.9942289181495562,elu,Nadam,logcosh,1,20,10
20,0.0038743447443982254,0.9925205621954748,0.002014893763955687,0.9974350737776272,relu,Nadam,logcosh,1,30,20
10,0.00996046349275286,0.9783096531031287,0.009321228291095258,0.983327996467084,elu,Adam,logcosh,0,40,10
20,0.0037916150820196783,0.9932685059759273,0.0021497999998774464,0.9967938420787076,elu,Nadam,logcosh,0,30,20
20,0.004238941147061456,0.9917726295602437,0.0024329018812691097,0.9964732319623012,relu,Nadam,logcosh,0,40,20
10,0.008229991788721644,0.9805534697327939,0.007236631943821267,0.9855722919340583,relu,Adam,logcosh,1,30,10
20,0.004191087102956329,0.9917726233189197,0.0027222076562371574,0.9948701494662722,elu,Adam,logcosh,1,20,20
