round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,first_neurons,batch_size,epochs,random_state
600,0.16046895947560524,0.834951449945135,0.159125245641917,0.8416666612029076,sigmoid,sgd,mean_squared_error,2,30,30,600,42
100,0.24324924809840118,0.8422330079726803,0.24335054432352385,0.6739583301047484,sigmoid,sgd,mean_squared_error,3,3,40,100,42
20,0.23938499282575348,0.7694174777535558,0.2398365898989141,0.8218749929219484,sigmoid,Adam,mean_squared_error,2,3,30,20,1
100,0.2417425879286331,0.5558252482159624,0.2417431933184465,0.5552083396663269,sigmoid,sgd,mean_squared_error,3,3,20,100,42
20,0.22534214538856617,0.6747572882082856,0.22612577443942428,0.6072916683430473,sigmoid,Adam,mean_squared_error,1,30,50,20,1337
100,0.16686231114910643,0.7985436887417025,0.16377603386839232,0.8177083308498064,sigmoid,Adam,mean_squared_error,1,3,40,100,1
10,0.22995361439811374,0.6019417394712133,0.23089347841838995,0.5895833286146323,sigmoid,Adam,mean_squared_error,3,30,40,10,1337
