round_epochs,val_loss,val_acc,loss,acc,first_neurons,epochs,random_state
200,0.02179981482405107,0.9975728155339806,0.03439231785014272,0.9875,3,200,42
200,0.0075329403942270045,1.0,0.013527897174935789,0.9989583333333333,10,600,42
200,0.0012238595863008528,1.0,0.002349554333341075,1.0,30,600,1337
200,0.015615054225386346,1.0,0.027986190770752727,0.9895833333333334,3,600,1
200,0.003756440136111477,1.0,0.006295162753667682,1.0,10,200,42
200,0.0032118248184735986,1.0,0.006773915517745384,1.0,30,200,1337
200,0.014828323382088572,1.0,0.027416293004838128,0.990625,3,200,1
200,0.0014271546200141582,1.0,0.0027400960476370527,1.0,30,600,1
200,0.0005730726119050038,1.0,0.0009413775814512822,1.0,30,50,1337
200,0.011506847221205391,1.0,0.024605681172882518,0.990625,10,200,1337
200,0.0023951521177224596,1.0,0.004574204211045678,1.0,30,50,1
200,0.007820675745199533,1.0,0.014722365634709907,0.9979166666666667,30,200,42
200,0.015236151621686024,1.0,0.027844827715307476,0.9895833333333334,3,600,1337
200,0.015470055533229436,1.0,0.02795754742498199,0.9895833333333334,3,600,42
200,0.015462639709952677,0.9975728155339806,0.027953151520341633,0.9895833333333334,3,50,1337
200,0.015573396528302466,0.9975728155339806,0.028077941224910318,0.9895833333333334,3,200,1337
200,0.011785443911771968,0.9975728155339806,0.024532239253555115,0.9895833333333334,10,50,42
200,0.0003711217719965752,1.0,0.000583378004921542,1.0,30,200,1
200,0.007574705093945332,1.0,0.015250372529650728,0.9979166666666667,10,50,1
200,0.011860976448888411,0.9975728155339806,0.02448787070073498,0.9895833333333334,10,600,1337
200,0.011729315880604666,1.0,0.024659834328728418,0.990625,10,50,1337
200,0.002081128243199839,1.0,0.004234918271443651,1.0,30,50,42
200,0.008741124919660895,1.0,0.01639653528497244,0.9958333333333333,10,600,1
200,0.015183174761138785,0.9975728155339806,0.027687817874054114,0.9895833333333334,3,50,1
200,0.000391071850404418,1.0,0.0006051418237499698,1.0,30,600,42
200,0.015744026922123525,1.0,0.028048514667898417,0.990625,3,50,42
200,0.01199784901476854,1.0,0.024898213770939037,0.9895833333333334,10,200,1
