round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
20,0.19185417485468595,0.7718446584581171,0.19470403778056303,0.7906249985098839,softmax,Nadam,mean_squared_error,2,40,20
10,0.21122918227343884,0.6893203802479123,0.2166031046460072,0.6833333323399226,softmax,Nadam,mean_squared_error,1,20,10
20,0.2228827218986252,0.6796116487493793,0.22503501611451307,0.6687500029802322,sigmoid,Adam,mean_squared_error,3,40,20
20,0.21989153991046462,0.5922330102874237,0.2226406658689181,0.5625,relu,sgd,mean_squared_error,3,20,20
20,0.2423489175519897,0.5703883576161654,0.244314543902874,0.6812499994412065,sigmoid,sgd,mean_squared_error,1,50,20
20,0.09594254235474808,0.9223300915898629,0.09658624053311844,0.9166666672875484,relu,Nadam,mean_squared_error,2,50,20
20,0.2390594942477143,0.8932038759722293,0.24087413710852465,0.8114583355685075,sigmoid,sgd,mean_squared_error,2,40,20
10,0.1247109612359584,0.8932038794443445,0.1282959577317039,0.8718749955296516,elu,Nadam,mean_squared_error,3,40,10
20,0.10004820204475551,0.9174757200537376,0.10012758546508849,0.9177083298563957,relu,Adam,mean_squared_error,3,20,20
10,0.24668425842396263,0.570388350382592,0.24809146051605543,0.5489583338300387,softmax,sgd,mean_squared_error,1,40,10
10,0.22509282212523582,0.7572815586062311,0.22751110745593905,0.7052083322778344,elu,sgd,mean_squared_error,1,30,10
10,0.2466788902444747,0.5703883518293066,0.2477257593224446,0.5656250013659397,softmax,sgd,mean_squared_error,3,20,10
20,0.2303740752553477,0.8373786488783013,0.2317814795921246,0.7906250009934107,relu,sgd,mean_squared_error,2,40,20
10,0.23542420117600452,0.5703883518293066,0.2394052560751637,0.548958337555329,elu,sgd,mean_squared_error,2,20,10
10,0.24349533108252924,0.5703883518293066,0.24582657280067602,0.5531250021109978,sigmoid,sgd,mean_squared_error,3,20,10
10,0.2380242059821064,0.5703883518293066,0.240708167043825,0.5489583369344473,softmax,Adam,mean_squared_error,2,20,10
20,0.24791125917029613,0.6067961188195978,0.24864482802028456,0.5760416683430473,softmax,sgd,mean_squared_error,3,50,20
10,0.06732088269539249,0.9514563019993236,0.06996237261531253,0.9374999925494194,elu,Nadam,mean_squared_error,1,20,10
20,0.23605923665669357,0.5606796261176322,0.23836573803176483,0.5500000019868215,relu,sgd,mean_squared_error,3,50,20
20,0.20741374211982616,0.7184466085966351,0.20902723462010422,0.7104166696468989,sigmoid,Adam,mean_squared_error,2,50,20
10,0.24796591916130584,0.5703883518293066,0.24883285195877156,0.5489583369344473,softmax,sgd,mean_squared_error,1,20,10
10,0.07544057309916875,0.9514563019993236,0.07822720132147272,0.9312499947845936,elu,Nadam,mean_squared_error,3,20,10
20,0.148167838026019,0.8762135870248369,0.1487562134861946,0.8562500004967054,sigmoid,Nadam,mean_squared_error,3,40,20
10,0.2306410979877398,0.577669915788382,0.23320262832567096,0.5583333410322666,relu,sgd,mean_squared_error,3,30,10
10,0.20958327190968598,0.6990291233201629,0.21072137479980788,0.6864583368102709,relu,sgd,mean_squared_error,2,40,10
20,0.08636284594252272,0.9320388346621133,0.08543836453463882,0.9322916629413763,relu,Nadam,mean_squared_error,3,50,20
20,0.1397195950295161,0.8640776672988262,0.14055357594043016,0.8552083242684603,sigmoid,Nadam,mean_squared_error,2,30,20
20,0.20867918619831788,0.7160194186330999,0.2106065028347075,0.716666666790843,elu,sgd,mean_squared_error,1,30,20
10,0.11923084758873125,0.8956310644890498,0.12144788859101634,0.878124992052714,elu,Nadam,mean_squared_error,1,50,10
10,0.23229964562122105,0.6456310827176548,0.23425661337872347,0.6510416697710752,relu,sgd,mean_squared_error,1,50,10
20,0.2372821352435547,0.584951459204109,0.24031400928894678,0.5635416631897291,elu,sgd,mean_squared_error,2,40,20
10,0.21976556665110356,0.6844660301231643,0.2225834308192134,0.6802083402872086,sigmoid,Adam,mean_squared_error,2,30,10
20,0.23420189255938947,0.5703883576161654,0.23689389554783702,0.5489583380209903,relu,sgd,mean_squared_error,2,50,20
20,0.2222762130996556,0.6286407787244297,0.2244447902776301,0.6072916714474559,relu,sgd,mean_squared_error,1,50,20
10,0.25111068958796345,0.5703883576161654,0.25280673646678525,0.548958335382243,sigmoid,sgd,mean_squared_error,1,50,10
10,0.18669739054534043,0.7718446555646877,0.18876139198740324,0.7843749976406494,relu,Adam,mean_squared_error,2,50,10
20,0.2276578649010473,0.6165048556709752,0.23015727195888758,0.6010416755452752,softmax,Adam,mean_squared_error,2,30,20
10,0.20288586168034564,0.7257281443447743,0.20621476570765176,0.7593749985098839,sigmoid,Nadam,mean_squared_error,2,40,10
20,0.059618189641572894,0.9490291241881916,0.05994469078723341,0.9479166635622581,elu,Nadam,mean_squared_error,3,50,20
10,0.22251764113463243,0.6359223277823439,0.22528585201750198,0.607291666790843,sigmoid,Adam,mean_squared_error,2,20,10
20,0.07309816589633238,0.9538834928308876,0.07312148762866855,0.9416666701436043,relu,Nadam,mean_squared_error,3,40,20
10,0.18204090809359133,0.8616504854368932,0.1860491664459308,0.819791667163372,sigmoid,Nadam,mean_squared_error,2,20,10
10,0.24442470594517235,0.570388350382592,0.24667558198173842,0.5489583338300387,sigmoid,sgd,mean_squared_error,1,40,10
20,0.23527322702326822,0.5703883576161654,0.23770420206710696,0.5489583409701785,softmax,Adam,mean_squared_error,3,50,20
10,0.23659437489741056,0.5849514667270252,0.24067876829455295,0.5697916684051355,relu,sgd,mean_squared_error,2,50,10
20,0.13182244001372348,0.8907766972930686,0.13258875099321207,0.8604166656732559,elu,Adam,mean_squared_error,1,40,20
20,0.20938284868754228,0.6941747503373229,0.2123214608679215,0.6812499972681204,softmax,Adam,mean_squared_error,1,20,20
20,0.20438677557174442,0.7160194192117858,0.20736520939196149,0.7041666675359011,softmax,Nadam,mean_squared_error,1,50,20
20,0.06611607129712707,0.9490291152185607,0.06654759938828647,0.9427083246409893,relu,Nadam,mean_squared_error,1,30,20
10,0.18079408113528223,0.786407759467375,0.18352302303537726,0.7937499936670065,elu,Adam,mean_squared_error,2,50,10
10,0.15208386065601145,0.8519417423646427,0.1555232716103395,0.8427083343267441,elu,Nadam,mean_squared_error,3,50,10
10,0.14315267305061655,0.868932031890721,0.14535050078605613,0.8468749982615312,relu,Nadam,mean_squared_error,3,50,10
20,0.247528810813589,0.570388350382592,0.24844809249043465,0.5489583363135656,softmax,sgd,mean_squared_error,2,40,20
10,0.11864585212422805,0.9004854342891174,0.12166711245663464,0.882291654124856,relu,Nadam,mean_squared_error,2,30,10
10,0.21551976663973724,0.6796116441198923,0.21712370465199152,0.6854166698952516,relu,sgd,mean_squared_error,2,20,10
10,0.2140910937224777,0.7160194186330999,0.21611164789646864,0.7302083298563957,sigmoid,Adam,mean_squared_error,1,30,10
