round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
10,0.009967450193208193,0.9805534875651483,0.009181738903960401,0.9852516901305792,relu,Adam,logcosh,2,40,10
20,0.0049050054785235815,0.9925205635329013,0.0038740221682684608,0.992946453127352,elu,Adam,logcosh,2,30,20
20,0.0030209031602779603,0.9955123399921381,0.0015789152809540517,0.99839692170821,relu,Nadam,logcosh,1,20,20
10,0.0063715011357533885,0.9872849749020881,0.005332166219105375,0.9894196890072396,elu,Nadam,logcosh,1,40,10
10,0.006208498108068554,0.9850411333071267,0.005215263574959101,0.9903815302492602,relu,Adam,logcosh,1,20,10
20,0.0035253194187675595,0.9940164497563798,0.0021798528944898853,0.9974350732043218,relu,Nadam,logcosh,1,30,20
20,0.0056396809672322416,0.988032917345114,0.0046869516001301235,0.9919846150385107,elu,Adam,logcosh,1,40,20
20,0.004146336924346779,0.9925205666535634,0.002916770200355983,0.996793843626632,relu,Adam,logcosh,1,20,20
20,0.002871777287255153,0.9947643966574944,0.0013724863569680606,0.999358768683284,elu,Nadam,logcosh,1,20,20
10,0.005862638113286037,0.988032917345114,0.004964572774487004,0.9910227696878018,relu,Nadam,logcosh,2,40,10
20,0.006014575479620414,0.9857890864495653,0.005044790116204746,0.9910227699744545,elu,Adam,logcosh,2,40,20
20,0.0038178964082127968,0.9940164586725571,0.002549650301987651,0.9971144625146101,elu,Nadam,logcosh,1,40,20
10,0.008825282139509286,0.980553465720514,0.007993364753440481,0.9852516743646825,elu,Adam,logcosh,1,30,10
10,0.004130696299409434,0.9932685102111114,0.0031546738220238867,0.9955113807829881,elu,Nadam,logcosh,1,20,10
10,0.010831224897886134,0.9760658293405218,0.010240312718253902,0.9823661490142556,elu,Adam,logcosh,1,40,10
20,0.0032947058981766027,0.9955123373172848,0.0019561950244829348,0.9977556890537816,elu,Nadam,logcosh,1,30,20
10,0.006230510485329977,0.9850411341987444,0.0053323167104684,0.9907021461178301,relu,Adam,logcosh,2,20,10
20,0.003957734321419925,0.993268509988207,0.0027619746448477368,0.9967938434164201,elu,Adam,logcosh,2,20,20
20,0.005574604185512631,0.9872849749020881,0.0045515302275377645,0.9916640010045178,relu,Adam,logcosh,2,40,20
20,0.003848972609264897,0.993268516229531,0.0025612452735749806,0.9974350770263574,relu,Nadam,logcosh,2,40,20
10,0.008169029273803951,0.9813014108383932,0.0074138319895863435,0.9862135242062832,elu,Adam,logcosh,2,30,10
10,0.006446893269993036,0.9850411333071267,0.005627555896281126,0.9887784519574703,elu,Adam,logcosh,2,20,10
20,0.003317287025160753,0.9940164510938064,0.0020151489960294603,0.9977556890537816,elu,Nadam,logcosh,2,30,20
10,0.006042962794581522,0.9865370288925913,0.0051784923171153355,0.9910227707388616,elu,Nadam,logcosh,2,40,10
10,0.00503268181370737,0.9917726197524488,0.004092855697839843,0.9923052207595762,relu,Nadam,logcosh,2,30,10
10,0.004843806513290324,0.9925205635329013,0.004062726596314091,0.9929464518851904,elu,Nadam,logcosh,2,30,10
10,0.00819169280926224,0.9820493546188457,0.0073855260445513295,0.9868547524653707,relu,Adam,logcosh,2,30,10
20,0.004693383298638063,0.991772622427302,0.0036039284055089742,0.994870146981949,relu,Adam,logcosh,1,30,20
20,0.0036881700068848587,0.9940164586725571,0.0024697494130955164,0.9971144625146101,elu,Nadam,logcosh,2,40,20
10,0.007640021638690495,0.9827972970618717,0.00676250962022293,0.9874959853109009,relu,Adam,logcosh,1,30,10
10,0.005050849028065955,0.9925205648703279,0.004203685973037862,0.9932670671613448,elu,Nadam,logcosh,1,30,10
10,0.009825006494453217,0.9813014300081743,0.009298709388995503,0.9839692274971473,relu,Adam,logcosh,1,40,10
20,0.0028742615388802164,0.9947643966574944,0.001505862602378588,0.99839692170821,relu,Nadam,logcosh,2,20,20
20,0.0027854757206786517,0.9947643966574944,0.001335397441667124,0.999358768683284,elu,Nadam,logcosh,2,20,20
20,0.005561015306760905,0.988032917345114,0.0045149200475730214,0.9916639989979491,relu,Adam,logcosh,1,40,20
20,0.0036154609985722553,0.9940164533228507,0.0024652884424517935,0.9967938434164201,elu,Adam,logcosh,1,20,20
10,0.004760052076231433,0.9925205635329013,0.0037904290300108667,0.9935876847307206,relu,Nadam,logcosh,1,30,10
10,0.004300804335730577,0.9917726235418242,0.003315098196369586,0.9948701494662722,relu,Nadam,logcosh,2,20,10
20,0.00472843265237977,0.9925205648703279,0.0037632731561765193,0.9939083005801803,elu,Adam,logcosh,1,30,20
10,0.004225887783170946,0.993268509988207,0.0031469880341401016,0.9958319964413461,relu,Nadam,logcosh,1,20,10
10,0.01110554842219849,0.9768137717835477,0.010426813502458282,0.983327998187,elu,Adam,logcosh,2,40,10
10,0.005663367314647295,0.9880329155618786,0.004820635518049878,0.9910227707388616,relu,Nadam,logcosh,1,40,10
20,0.004882512580521165,0.991772622427302,0.0038504173798642907,0.9935876830108046,relu,Adam,logcosh,2,30,20
10,0.004454361064733607,0.9925205666535634,0.0032213446552822544,0.9951907651246301,elu,Nadam,logcosh,2,20,10
20,0.003841271315908189,0.993268516229531,0.002691993649181399,0.9967938472384557,relu,Nadam,logcosh,1,40,20
10,0.006160523965907762,0.9850411333071267,0.005347068560613978,0.9900609148011141,elu,Adam,logcosh,1,20,10
20,0.003330090254107,0.9940164510938064,0.0021331350846399643,0.9977556890537816,relu,Nadam,logcosh,2,30,20
20,0.003780072638581364,0.9932685102111114,0.002585098469584926,0.997114459074778,relu,Adam,logcosh,2,20,20
