round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
10,0.00606094716463681,0.984293204461271,0.004170716784793839,0.9939083089886586,relu,Nadam,logcosh,2,40,10
20,0.00415030059020259,0.9895287890798046,0.001966356608197793,0.9983969207527011,relu,Nadam,logcosh,1,30,20
20,0.004276029884818438,0.9902767328602571,0.0020987149297014003,0.9977556890537816,elu,Nadam,logcosh,2,30,20
20,0.003763155775061265,0.9910246810987982,0.0015463417285017254,0.999358768683284,relu,Nadam,logcosh,1,20,20
10,0.010238464496801304,0.9783096577841217,0.008667212616534007,0.9842898438243616,relu,Adam,logcosh,1,40,10
10,0.0060152096357165225,0.9865370139579944,0.003821189936703326,0.9945495306547347,elu,Nadam,logcosh,2,30,10
10,0.006887884765986016,0.984293204461271,0.005018979621007226,0.991984617331732,relu,Nadam,logcosh,1,40,10
10,0.009239231747043617,0.9768137514992445,0.0073565763244288936,0.9868547547585921,elu,Adam,logcosh,1,30,10
10,0.00499586650556681,0.9872849644255799,0.0029588771303883216,0.9958319964413461,elu,Nadam,logcosh,1,20,10
10,0.0070063942219997935,0.9827973160087483,0.004794081271861648,0.9919846142741036,elu,Nadam,logcosh,2,40,10
20,0.004933560489766664,0.9880329077602236,0.0027784967781375753,0.9961526120997041,relu,Adam,logcosh,2,20,20
20,0.006737440055488381,0.9835452602350097,0.004530570954568123,0.9942289235004059,relu,Adam,logcosh,1,40,20
20,0.005804327104452937,0.9857890701775419,0.0034591402735996485,0.9964732257514934,relu,Adam,logcosh,1,30,20
10,0.0100200450425395,0.9783096577841217,0.008491161710255114,0.9852516908949864,relu,Adam,logcosh,2,40,10
10,0.010903305224321988,0.9768137711148344,0.009294747021712145,0.9849310722745508,elu,Adam,logcosh,1,40,10
20,0.005527403810239664,0.9865370139579944,0.0033866158909424595,0.9951907634047141,relu,Adam,logcosh,2,30,20
20,0.003616883032711203,0.9910246810987982,0.001540519478069085,0.99839692170821,relu,Nadam,logcosh,2,20,20
20,0.006801896544679074,0.984293204461271,0.004601629524819885,0.993587692948097,elu,Adam,logcosh,2,40,20
20,0.004593392710797821,0.9880329077602236,0.0024219299892455485,0.997114459074778,elu,Adam,logcosh,1,20,20
20,0.004617422018684279,0.9887808609026622,0.0024362437702275266,0.997114461750203,elu,Nadam,logcosh,2,40,20
10,0.006487722937569716,0.9842931910870052,0.004660303903361869,0.9929464555161241,elu,Adam,logcosh,2,20,10
20,0.003554056042339039,0.9910246810987982,0.0012840885439853768,0.998717537366568,elu,Nadam,logcosh,1,20,20
10,0.006003637507484032,0.9857890701775419,0.003988972765295168,0.994870146981949,relu,Nadam,logcosh,1,30,10
20,0.0036047745576823025,0.9910246810987982,0.0012948166379896705,0.998717537366568,elu,Nadam,logcosh,2,20,20
10,0.008987963886265611,0.978309637722723,0.007385265980187281,0.9878166011603607,relu,Adam,logcosh,2,30,10
20,0.004424838817627194,0.989528803345688,0.0022652340734436627,0.9971144625146101,relu,Nadam,logcosh,2,40,20
20,0.0041884016913609394,0.9895287890798046,0.0019881998620065026,0.9974350732043218,elu,Nadam,logcosh,1,30,20
10,0.005778333029556336,0.9865370139579944,0.003833964104832393,0.9942289152830295,elu,Nadam,logcosh,1,30,10
10,0.004934422919699882,0.9880329077602236,0.002929660218665123,0.9961526120997041,relu,Nadam,logcosh,1,20,10
20,0.006703185010910391,0.9835452602350097,0.00440441827092985,0.9942289227359988,elu,Adam,logcosh,1,40,20
10,0.004995321680745049,0.9880329077602236,0.002927622356175594,0.9961526120997041,relu,Nadam,logcosh,2,20,10
10,0.008920717388865167,0.980553467726654,0.007411103524273944,0.9871753683148304,elu,Adam,logcosh,2,30,10
20,0.004653719898171182,0.9887808609026622,0.0023463487556500857,0.9971144625146101,relu,Nadam,logcosh,1,40,20
20,0.0041558017625087105,0.9895287890798046,0.0019649550251985277,0.9980763054765467,relu,Nadam,logcosh,2,30,20
20,0.004771738406828004,0.9887808609026622,0.002408155447288508,0.9971144625146101,elu,Nadam,logcosh,1,40,20
20,0.006051868421465114,0.9857890893473229,0.003860777226391954,0.9948701548171219,relu,Adam,logcosh,2,40,20
20,0.004653294892306536,0.9887808510948672,0.00249566648325077,0.9967938434164201,elu,Adam,logcosh,2,20,20
10,0.0053877263843016936,0.9865370210909362,0.003050950260232596,0.9961526120997041,elu,Nadam,logcosh,2,20,10
10,0.0069536021651133125,0.9842931910870052,0.005172448902615293,0.9916639928826921,relu,Adam,logcosh,1,20,10
20,0.005003035983443226,0.9880329077602236,0.002835903772058604,0.9967938434164201,relu,Adam,logcosh,1,20,20
10,0.006832131611638846,0.9835452602350097,0.004849770043968543,0.9932670784363498,elu,Nadam,logcosh,1,40,10
20,0.005694695809709254,0.9872849577384469,0.0034775042144198575,0.9958319939570229,elu,Adam,logcosh,2,30,20
10,0.008494233428524973,0.979805525283628,0.006839060387850338,0.9881372164365151,relu,Adam,logcosh,1,30,10
20,0.005669858182786366,0.9865370139579944,0.0033813263869934104,0.9955113786808686,elu,Adam,logcosh,1,30,20
10,0.005684918080690431,0.9865370139579944,0.0036812912765630955,0.9945495311324892,relu,Nadam,logcosh,2,30,10
10,0.007090417447931111,0.9813014177484305,0.005170227862036369,0.9916639928826921,elu,Adam,logcosh,1,20,10
10,0.010042530807012395,0.9783096560008863,0.008561999160221904,0.9865341522862568,elu,Adam,logcosh,2,40,10
10,0.0068453561083435255,0.9827973044177178,0.0050370190362393754,0.9923052244096201,relu,Adam,logcosh,2,20,10
