,Tm,FantPos,Age,G,GS,Cmp_p,Att_p,Yds_p,TD_p,Int_p,Att_r,Yds_r,Y/A_r,TD_r,Tgt_c,Rec_c,Yds_c,Y/R_c,TD_c,Fmb_f,FL_f,TD_f,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Christian McCaffrey,CAR,RB,23,32,32,1,3,50,1,0,506,2485,9.84,22,266,223,1872,16.759999999999998,10,5,1,32,,,634.0,856.7,869.7,745.2,358.0,4,4.0
Lamar Jackson,BAL,QB,22,31,22,364,571,4328,42,9,323,1901,11.58,12,2,0,0,,0,21,6,12,,,574.0,573.2,600.2,582.2,,30,
Derrick Henry,TEN,RB,25,31,27,2,3,14,0,0,518,2599,10.01,28,42,33,305,18.04,2,6,4,30,,,463.0,496.0,509.0,479.5,187.0,15,33.0
Aaron Jones,GNB,RB,25,28,24,0,0,0,0,0,369,1812,10.059999999999999,24,103,75,680,17.59,4,4,3,28,,,411.0,486.20000000000005,501.20000000000005,448.70000000000005,135.0,26,66.0
Ezekiel Elliott,DAL,RB,24,31,31,0,0,0,0,0,605,2791,9.23,18,166,131,987,15.14,5,9,3,23,,,510.0,640.8,655.8,575.3,234.0,9,12.0
Dalvin Cook,MIN,RB,24,25,24,0,0,0,0,0,383,1750,9.16,15,112,93,824,17.419999999999998,2,6,4,17,,,351.0,444.4,460.4,397.9,,36,
Michael Thomas,NOR,WR,26,32,31,0,0,0,0,0,1,-9,,0,332,274,3130,22.82,18,3,2,18,,,417.0,690.1,698.1,553.1,171.0,9,26.0
Travis Kelce,KAN,TE,30,32,32,0,0,0,0,0,1,4,,1,286,200,2565,25.64,15,3,2,16,,,349.0,548.9000000000001,556.9000000000001,448.9,189.0,2,16.0
Nick Chubb,CLE,RB,24,32,25,0,0,0,0,0,490,2490,10.2,16,78,56,427,15.17,2,3,3,18,,,394.0,449.7,464.7,421.7,118.0,21,49.0
Austin Ekeler,LAC,RB,24,30,11,0,0,0,0,0,238,1111,9.45,6,161,131,1397,21.15,11,4,3,17,,,347.0,477.8,492.8,412.3,,34,
Mark Ingram,BAL,RB,30,27,21,0,0,0,0,0,340,1663,9.71,16,56,47,417,17.6,6,5,3,22,,,339.0,385.0,400.0,361.5,,36,
Dak Prescott,DAL,QB,26,32,32,744,1122,8787,52,19,127,582,9.4,9,1,0,0,,0,18,8,9,,2.0,624.0,623.7,662.7,642.7,77.0,12,81.0
Mark Andrews,BAL,TE,23,31,7,0,0,0,0,0,0,0,,0,148,98,1404,29.549999999999997,13,2,1,13,,,216.0,314.4,321.4,265.4,,18,
Russell Wilson,SEA,QB,31,32,32,621,943,7558,66,12,142,718,10.17,3,1,1,-11,,0,18,4,3,,2.0,627.0,628.0,656.0,639.5,81.0,12,72.0
Chris Godwin,TAM,WR,23,30,19,0,0,0,0,0,1,8,,0,216,145,2175,29.77,16,4,1,16,2.0,,316.0,461.3,468.3,388.79999999999995,71.0,27,78.0
